rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,109230,6,1,8,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | LINKATTR1_REG_REG_INT(r3,r4,c3) | COPY_REG_REG(r3,r5)","r1=R7;r2=R16;c1=int:0;c2=label@948;r3=R6;r4=R14;c3=int:2;r5=R15","benchmark_awfy_towers_opt",923
2,82050,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r2) | SETOBJUNINIT_REG_STRING(r2,c3)","r1=R14;c1=int:18;c2=int:1;r2=R3;c3=string@11","benchmark_awfy_towers_opt",770
3,82050,1,1,6,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R16","benchmark_awfy_towers_opt",776
4,82050,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c3) | LOAD_REG_INT(r2,c4)","c1=int:18;c2=int:1;r1=R3;c3=string@11;r2=R1;c4=int:0","benchmark_awfy_towers_opt",772
5,82050,1,1,7,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | IEQ_REG_REG_INT(r3,r4,c2) | BRF_ID_REG(c3,r3)","r1=R3;c1=string@11;r2=R1;c2=int:0;r3=R5;r4=R16;c3=label@812","benchmark_awfy_towers_opt",778
6,82020,1,1,7,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2) | IGETUNLINK_REG_REG(r5,r4)","c1=label@923;r1=R1;r2=R9;r3=R15;r4=R7;c2=int:1;r5=R6","benchmark_awfy_towers_opt",859
7,82020,3,1,6,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2) | UNLINK_REG(r2)","c1=label@859;r1=R1;r2=R6;r3=R14;c2=int:2;r4=R3","benchmark_awfy_towers_opt",798
8,82020,1,1,6,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BR_ID(c2)","r1=R9;r2=R15;r3=R7;c1=int:1;r4=R6;c2=label@874","benchmark_awfy_towers_opt",862
9,82020,1,1,6,candidate,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | IGETUNLINK_REG_REG(r2,r3) | BR_ID(c2)","r1=R8;r2=R6;r3=R7;r4=R3;c1=int:1;c2=label@886","benchmark_awfy_towers_opt",874
10,82020,3,1,6,candidate,"IGETUNLINK_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | COPY_REG_REG(r4,r2)","r1=R1;r2=R6;c1=label@859;r3=R14;c2=int:2;r4=R3","benchmark_awfy_towers_opt",795
11,82020,3,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | BRF_ID_REG(c2,r3) | LINKATTR1_REG_REG_INT(r1,r2,c3)","r1=R6;r2=R14;c1=int:3;r3=R1;c2=label@859;c3=int:2","benchmark_awfy_towers_opt",791
12,81910,3,1,7,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1) | IGETUNLINK_REG_REG(r4,r3) | BRTF_ID_ID_REG(c2,c3,r4)","r1=R31;r2=R29;r3=R25;c1=int:2;r4=R24;c2=label@236;c3=label@264","benchmark_awfy_towers_opt",222
13,81910,3,1,5,candidate,"COPY_REG_REG(r1,r2) | NULL_REG(r3) | COPY_REG_REG(r4,r1) | SETOBJUNINIT_REG_STRING(r3,c1)","r1=R27;r2=R20;r3=R29;r4=R30;c1=string@11","benchmark_awfy_towers_opt",202
14,81910,3,1,5,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1) | COPY_REG_REG(r4,r3)","r1=R23;r2=R24;c1=int:1;r3=R27;r4=R20","benchmark_awfy_towers_opt",299
15,81910,3,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1) | ASSERTTYPE_REG_STRING(r3,c2) | UNLINK_REG(r1)","r1=R25;r2=R32;c1=int:3;r3=R23;c2=string@9","benchmark_awfy_towers_opt",239
16,81910,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R24;r2=R27;c1=int:1;r3=R23","benchmark_awfy_towers_opt",295
17,81900,1,1,6,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R42;c1=int:18;c2=int:1;r2=R8;r3=R43;c3=label@1642","benchmark_awfy_towers_opt",1423
18,81900,2,1,6,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2) | BRF_ID_REG(c3,r2)","r1=R5;c1=string@9;r2=R7;r3=R44;c2=int:0;c3=label@1533","benchmark_awfy_towers_opt",1511
19,81900,2,1,5,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R5;r2=R7;c1=string@9;r3=R44;c2=int:0","benchmark_awfy_towers_opt",1508
20,81900,2,1,6,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | COPY_REG_REG(r5,r1) | SETTP_REG_INT(r3,c1)","r1=R14;r2=R16;r3=R13;r4=R17;r5=R12;c1=int:256","benchmark_awfy_towers_opt",1602
