entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,78253000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,91039000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,149247000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,113401000,0,pass
mandelbrot-noopt,mandelbrot,Mandelbrot,baseline,noopt,process,recorded,1,612312000,0,pass
mandelbrot-opt,mandelbrot,Mandelbrot,candidate,opt,process,recorded,1,558814000,0,pass
towers-noopt,towers,Towers,baseline,noopt,process,recorded,1,1149843000,0,pass
towers-opt,towers,Towers,candidate,opt,process,recorded,1,1103118000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,198051000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,166944000,0,pass
storage-noopt,storage,Storage,baseline,noopt,process,recorded,1,3127825000,0,pass
storage-opt,storage,Storage,candidate,opt,process,recorded,1,4220103000,0,pass
list-noopt,list,List,baseline,noopt,process,recorded,1,517496000,0,pass
list-opt,list,List,candidate,opt,process,recorded,1,303943000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,223518000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,1189110000,0,pass
json-noopt,json,JSON,baseline,noopt,process,recorded,1,964436000,0,pass
json-opt,json,JSON,candidate,opt,process,recorded,1,1004669000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,1596854000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,1331214000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,1273600000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,2069118000,0,pass
