phase,round,engine,mode,sequence,variant,elapsed_ns,jobs_per_second
recorded,7,rxbvml,executor2,1,baseline,1166193000,8574.909984882
recorded,7,rxbvml,executor2,2,candidate,1181428000,8464.332993631
recorded,7,rxtvml,direct,1,baseline,2465151000,4056.546637508
recorded,7,rxtvml,direct,2,candidate,2504561000,3992.715689496
recorded,7,rxtvml,executor1,1,baseline,2483453000,4026.651601621
recorded,7,rxtvml,executor1,2,candidate,2577209000,3880.166490184
recorded,7,rxtvml,executor2,1,baseline,1332514000,7504.611583818
recorded,7,rxtvml,executor2,2,candidate,1382451000,7233.529434316
recorded,8,rxbvml,direct,1,candidate,2137377000,4678.631799631
recorded,8,rxbvml,direct,2,baseline,2147765000,4656.002868098
recorded,8,rxbvml,executor1,1,candidate,2158159000,4633.578897570
recorded,8,rxbvml,executor1,2,baseline,2193765000,4558.373390039
recorded,8,rxbvml,executor2,1,candidate,1165216000,8582.099799522
recorded,8,rxbvml,executor2,2,baseline,1199537000,8336.549852151
recorded,8,rxtvml,direct,1,candidate,2672735000,3741.485781419
recorded,8,rxtvml,direct,2,baseline,2432645000,4110.751877072
recorded,8,rxtvml,executor1,1,candidate,2555871000,3912.560532202
recorded,8,rxtvml,executor1,2,baseline,2482765000,4027.767428653
recorded,8,rxtvml,executor2,1,candidate,1376394000,7265.361517124
recorded,8,rxtvml,executor2,2,baseline,1357410000,7366.970922566
recorded,9,rxbvml,direct,1,baseline,2207806000,4529.383469381
recorded,9,rxbvml,direct,2,candidate,2137332000,4678.730304885
recorded,9,rxbvml,executor1,1,baseline,2176381000,4594.783725827
recorded,9,rxbvml,executor1,2,candidate,2140396000,4672.032651902
recorded,9,rxbvml,executor2,1,baseline,1379164000,7250.769306623
recorded,9,rxbvml,executor2,2,candidate,1186218000,8430.153647980
recorded,9,rxtvml,direct,1,baseline,2447845000,4085.225984488
recorded,9,rxtvml,direct,2,candidate,2509415000,3984.992518177
recorded,9,rxtvml,executor1,1,baseline,2492635000,4011.818818239
recorded,9,rxtvml,executor1,2,candidate,2518318000,3970.904389358
recorded,9,rxtvml,executor2,1,baseline,1351702000,7398.080346112
