engine,mode,round,baseline_ns,candidate_ns,elapsed_delta_percent
rxbvml,executor1,10,2210626000,2159994000,-2.290391952
rxbvml,executor1,5,2159475000,2115313000,-2.045034094
rxbvml,executor1,11,2242341000,2170354000,-3.210350254
rxbvml,executor1,6,2137116000,2142784000,0.265217237
rxtvml,direct,1,2417646000,2646583000,9.469417772
rxbvml,executor1,12,2267583000,2194549000,-3.220786185
rxbvml,executor1,7,2177458000,2109516000,-3.120243881
rxtvml,direct,2,2426104000,2460396000,1.413459604
rxtvml,executor1,1,2502750000,2664167000,6.449585456
rxbvml,executor1,8,2193765000,2158159000,-1.623054429
rxtvml,direct,3,2452391000,2508590000,2.291600320
rxtvml,executor1,2,2489549000,2550087000,2.431685418
rxbvml,executor1,9,2176381000,2140396000,-1.653432924
rxtvml,direct,4,2459823000,2665884000,8.377066155
rxtvml,executor1,3,2465690000,2697687000,9.409009243
rxtvml,direct,5,2450107000,2480924000,1.257781803
rxtvml,executor1,4,2491385000,2553783000,2.504550682
rxtvml,direct,6,2418110000,2479555000,2.541034113
rxtvml,executor1,5,2480585000,2499665000,0.769173401
rxtvml,direct,10,2470959000,2711846000,9.748725090
rxtvml,direct,7,2465151000,2504561000,1.598685030
rxtvml,executor1,6,2485210000,2521363000,1.454726160
rxbvml,executor2,1,1096397000,1098888000,0.227198725
rxtvml,direct,11,2573181000,2512811000,-2.346123339
rxtvml,direct,8,2432645000,2672735000,9.869504182
rxtvml,executor1,7,2483453000,2577209000,3.775227476
rxbvml,executor2,2,1138460000,1096151000,-3.716336103
rxtvml,direct,12,2554063000,2653154000,3.879739850
rxtvml,direct,9,2447845000,2509415000,2.515273639
rxtvml,executor1,8,2482765000,2555871000,2.944539656
rxbvml,executor2,3,1128069000,1136197000,0.720523301
rxtvml,executor1,9,2492635000,2518318000,1.030355427
rxbvml,executor2,4,1179952000,1175006000,-0.419169593
rxtvml,executor2,10,1408464000,1393116000,-1.089697713
rxbvml,executor2,5,1182396000,1158009000,-2.062506977
rxtvml,executor2,11,1663995000,1806550000,8.567032954
rxbvml,executor2,6,1200459000,1167658000,-2.732371535
rxtvml,executor2,12,1666766000,1571500000,-5.715619349
rxbvml,executor2,7,1166193000,1181428000,1.306387536
rxtvml,executor2,1,1270032000,1312713000,3.360623984
rxbvml,executor2,8,1199537000,1165216000,-2.861187275
rxtvml,executor2,2,1298079000,1288766000,-0.717444778
rxbvml,direct,10,2193032000,2167154000,-1.180010141
rxbvml,executor2,9,1379164000,1186218000,-13.990069346
rxtvml,executor2,3,1290087000,1422678000,10.277678947
rxbvml,direct,11,2208612000,2143138000,-2.964486293
rxtvml,executor2,4,1321858000,1335013000,0.995190104
rxbvml,direct,12,2223810000,2208975000,-0.667098358
rxtvml,executor2,5,1307848000,1365135000,4.380249081
rxtvml,executor2,6,1350737000,1445356000,7.004990609
rxtvml,executor2,7,1332514000,1382451000,3.747577887
rxtvml,executor1,10,2495014000,2584602000,3.590681255
rxtvml,executor2,8,1357410000,1376394000,1.398545760
rxtvml,executor1,11,2499959000,2520734000,0.831013629
rxtvml,executor2,9,1351702000,1405083000,3.949169270
rxtvml,executor1,12,2605574000,2798312000,7.397141666
rxbvml,direct,1,2049990000,2048700000,-0.062927136
rxbvml,direct,2,2107008000,2066208000,-1.936395116
rxbvml,direct,3,2106770000,2053889000,-2.510050931
rxbvml,direct,4,2106859000,2074125000,-1.553687266
rxbvml,direct,5,2135374000,2069415000,-3.088873425
rxbvml,direct,6,2119015000,2116887000,-0.100424018
rxbvml,direct,7,2161291000,2145616000,-0.725260967
rxbvml,direct,8,2147765000,2137377000,-0.483665578
rxbvml,direct,9,2207806000,2137332000,-3.192037706
rxbvml,executor2,10,1260225000,1204227000,-4.443492234
rxbvml,executor2,11,1300380000,1485850000,14.262753964
rxbvml,executor2,12,1413546000,1345007000,-4.848727951
rxbvml,executor1,1,2144834000,2081716000,-2.942791843
rxbvml,executor1,2,2150596000,2100273000,-2.339955994
rxbvml,executor1,3,2132911000,2092856000,-1.877949900
rxbvml,executor1,4,2143115000,2075074000,-3.174864625
