engine,mode,pairs,baseline_median_ns,candidate_median_ns,min_percent,median_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable_pairs,guard_3_percent
rxbvml,executor1,12,2167928000,2127854500,-3.220786185,-2.315173973,0.265217237,-2.269469904,-2.911115705,-1.627824102,11,clear
rxtvml,direct,12,2451249000,2511113000,-2.346123339,2.528153876,9.869504182,4.218013685,1.622808274,6.813219096,1,hit
rxtvml,executor1,12,2490467000,2554827000,0.769173401,2.724545169,9.409009243,3.548974122,1.770718379,5.327229866,0,hit
rxbvml,executor2,12,1190966500,1171332000,-13.990069346,-2.397439256,14.262753964,-1.546416457,-5.609724753,2.516891838,8,clear
rxtvml,executor2,12,1341625500,1387783500,-5.715619349,3.554100936,10.277678947,3.013191396,0.193883713,5.832499080,3,hit
rxbvml,direct,12,2141569500,2127109500,-3.192037706,-1.366848704,-0.062927136,-1.538743078,-2.285163330,-0.792322826,12,clear
