rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,6169002,64,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ENDLIFE_REG(r4)","r1=R7;r2=R6;r3=R28;r4=R29","benchmark_base64_roundtrip_opt",361
2,2740000,24,1,4,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","r1=R9;r2=R10;r3=R12;r4=R14","benchmark_base64_roundtrip_opt",801
3,685000,6,1,7,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R21;r2=R10;c1=int:0;c2=label@928;r3=R22;r4=R18;c3=label@899","benchmark_base64_roundtrip_opt",881
4,685000,6,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R13;c1=int:0;r2=R16;c2=string@288;r3=R21;r4=R17;c3=int:1;c4=label@840","benchmark_base64_roundtrip_opt",824
5,685000,6,1,9,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | ILT_REG_REG_INT(r4,r5,c4)","r1=R11;c1=string@50384;r2=R13;c2=int:0;r3=R16;c3=string@288;r4=R21;r5=R17;c4=int:1","benchmark_base64_roundtrip_opt",821
6,685000,6,1,5,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | NULL_REG(r3) | SCOPY_REG_REG(r4,r5)","r1=R15;r2=R18;r3=R20;r4=R19;r5=R41","benchmark_base64_roundtrip_opt",809
7,685000,6,1,8,over_3_symbols,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R19;r2=R18;r3=R16;r4=R10;r5=R15;c1=int:1;c2=label@944;c3=int:0","benchmark_base64_roundtrip_opt",921
8,685000,6,1,8,over_3_symbols,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R20;r2=R19;r3=R18;r4=R17;c1=int:1;r5=R9;c2=label@871;c3=int:0","benchmark_base64_roundtrip_opt",853
9,684000,4,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | SCOPY_REG_REG(r4,r5)","r1=R33;r2=R34;r3=R35;r4=R16;r5=R38","benchmark_base64_roundtrip_opt",1374
10,683000,4,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | ISUB_REG_REG_INT(r4,r5,c1)","r1=R38;r2=R36;r3=R35;r4=R15;r5=R34;c1=int:1","benchmark_base64_roundtrip_opt",1425
11,683000,4,1,7,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ISUB_REG_REG_INT(r3,r4,c1) | BGE_ID_REG_INT(c2,r3,c3)","r1=R36;r2=R35;r3=R15;r4=R34;c1=int:1;c2=label@1447;c3=int:0","benchmark_base64_roundtrip_opt",1427
12,683000,4,1,6,over_3_symbols,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | BR_ID(c2)","r1=R38;c1=int:1;r2=R35;r3=R36;r4=R34;c2=label@1425","benchmark_base64_roundtrip_opt",1413
13,683000,4,1,6,over_3_symbols,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2) | BRT_ID_REG(c3,r2) | SEQ_REG_REG_STRING(r2,r1,c2)","r1=R36;c1=string@46864;r2=R34;r3=R35;c2=string@288;c3=label@1402","benchmark_base64_roundtrip_opt",1388
14,683000,4,1,7,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1) | SEQ_REG_REG_STRING(r5,r2,c2)","r1=R38;r2=R35;r3=R16;r4=R36;c1=string@46864;r5=R34;c2=string@288","benchmark_base64_roundtrip_opt",1383
15,683000,4,1,7,over_3_symbols,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SEQ_REG_REG_STRING(r4,r1,c2) | BRT_ID_REG(c3,r4)","r1=R35;r2=R16;r3=R36;c1=string@46864;r4=R34;c2=string@288;c3=label@1402","benchmark_base64_roundtrip_opt",1385
16,683000,4,1,6,over_3_symbols,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | SEQ_REG_REG_STRING(r1,r3,c1) | BRF_ID_REG(c3,r1)","r1=R34;r2=R35;c1=string@288;c2=label@1402;r3=R36;c3=label@1413","benchmark_base64_roundtrip_opt",1391
17,513000,3,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LOAD_REG_STRING(r3,c2) | LOAD_REG_INT(r4,c3) | LOAD_REG_STRING(r5,c4)","r1=R15;r2=R2;c1=int:1;r3=R33;c2=string@50384;r4=R31;c3=int:0;r5=R16;c4=string@288","benchmark_base64_roundtrip_opt",1476
18,513000,3,1,7,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4) | IADD_REG_REG_INT(r5,r6,c1)","r1=R14;r2=R12;r3=R13;r4=R41;r5=R15;r6=R2;c1=int:1","benchmark_base64_roundtrip_opt",1469
19,513000,3,1,8,over_3_symbols,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | IADD_REG_REG_INT(r4,r5,c1) | LOAD_REG_STRING(r6,c2)","r1=R12;r2=R13;r3=R41;r4=R15;r5=R2;c1=int:1;r6=R33;c2=string@50384","benchmark_base64_roundtrip_opt",1471
20,513000,3,1,9,over_3_symbols,"SCOPY_REG_REG(r1,r2) | IADD_REG_REG_INT(r3,r4,c1) | LOAD_REG_STRING(r5,c2) | LOAD_REG_INT(r6,c3)","r1=R13;r2=R41;r3=R15;r4=R2;c1=int:1;r5=R33;c2=string@50384;r6=R31;c3=int:0","benchmark_base64_roundtrip_opt",1473
21,342000,2,1,4,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | SCOPY_REG_REG(r3,r4) | NULL_REG(r4)","r1=R34;r2=R35;r3=R16;r4=R38","benchmark_base64_roundtrip_opt",1376
22,342000,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c2,r1) | RNE_REG_REG_STRING(r1,r4,c3)","r1=R39;r2=R3;c1=int:1;r3=R4;c2=label@2276;r4=R24;c3=string@58824","benchmark_base64_roundtrip_opt",2261
23,342000,2,1,6,over_3_symbols,"ILT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r3,c2) | BRF_ID_REG(c3,r1)","r1=R39;r2=R4;c1=label@2276;r3=R24;c2=string@58824;c3=label@2303","benchmark_base64_roundtrip_opt",2265
24,342000,2,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | NULL_REG(r2) | SCOPY_REG_REG(r3,r1) | LOAD_REG_STRING(r4,c1)","r1=R16;r2=R38;r3=R35;r4=R36;c1=string@46864","benchmark_base64_roundtrip_opt",1380
25,341500,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r1,c1) | IADD_REG_REG_INT(r2,r3,c1) | ILT_REG_REG_REG(r2,r1,r2) | BRF_ID_REG(c2,r2)","r1=R4;c1=int:1;r2=R39;r3=R3;c2=label@2276","benchmark_base64_roundtrip_opt",2257
26,341500,2,1,7,over_3_symbols,"IDIV_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r3,r1) | BSETU8_REG_REG_REG(r4,r5,r3) | IADD_REG_REG_INT(r5,r5,c2)","r1=R38;r2=R20;c1=int:16;r3=R39;r4=R6;r5=R4;c2=int:1","benchmark_base64_roundtrip_opt",2245
27,341000,2,1,9,over_3_symbols,"BRF_ID_REG(c1,r1) | IADD_REG_REG_INT(r2,r3,c2) | BGETU8_REG_REG_REG(r4,r5,r6) | BSETU8_REG_REG_REG(r7,r2,r4)","c1=label@308;r1=R36;r2=R35;r3=R20;c2=int:2;r4=R37;r5=R15;r6=R31;r7=R21","benchmark_base64_roundtrip_opt",291
28,341000,2,1,8,over_3_symbols,"BRF_ID_REG(c1,r1) | RNE_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1) | IMOD_REG_REG_INT(r3,r4,c4)","c1=label@2276;r1=R39;r2=R24;c2=string@58824;c3=label@2303;r3=R38;r4=R20;c4=int:16","benchmark_base64_roundtrip_opt",2269
29,341000,2,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | SCOPY_REG_REG(r2,r3) | NULL_REG(r4) | SCOPY_REG_REG(r5,r2)","c1=label@2155;r1=R39;r2=R38;r3=R24;r4=R35;r5=R33","benchmark_base64_roundtrip_opt",2073
30,341000,2,1,8,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | BGETU8_REG_REG_REG(r3,r4,r5) | BSETU8_REG_REG_REG(r6,r1,r3) | BR_ID(c2)","r1=R35;r2=R20;c1=int:2;r3=R37;r4=R15;r5=R31;r6=R21;c2=label@319","benchmark_base64_roundtrip_opt",294
31,341000,2,1,10,over_3_symbols,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r4,c3) | BGETU8_REG_REG_REG(r5,r6,r7)","r1=R36;r2=R33;c1=int:1;c2=label@308;r3=R35;r4=R20;c3=int:2;r5=R37;r6=R15;r7=R31","benchmark_base64_roundtrip_opt",287
32,341000,2,1,6,over_3_symbols,"RNE_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | SCOPY_REG_REG(r3,r2) | NULL_REG(r4)","r1=R39;r2=R24;c1=string@58824;c2=label@2155;r3=R38;r4=R35","benchmark_base64_roundtrip_opt",2069
33,341000,2,1,6,over_3_symbols,"SCOPY_REG_REG(r1,r2) | NULL_REG(r3) | SCOPY_REG_REG(r4,r1) | LOAD_REG_STRING(r5,c1)","r1=R38;r2=R24;r3=R35;r4=R33;r5=R34;c1=string@46864","benchmark_base64_roundtrip_opt",2076
34,171500,2,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | LOAD_REG_INT(r4,c2) | LOAD_REG_STRING(r5,c3)","r1=R17;r2=R1;r3=R11;c1=string@50384;r4=R13;c2=int:0;r5=R16;c3=string@288","benchmark_base64_roundtrip_opt",818
35,171500,2,1,6,over_3_symbols,"NULL_REG(r1) | NULL_REG(r2) | SCOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R18;r2=R20;r3=R19;r4=R41;r5=R17;r6=R1","benchmark_base64_roundtrip_opt",811
