entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve-current,Sieve,baseline,noopt,process,recorded,1,24594000,0,pass
sieve-opt,sieve-current,Sieve,candidate,opt,process,recorded,1,23929000,0,pass
permute-noopt,permute-current,Permute,baseline,noopt,process,recorded,1,53958000,0,pass
permute-opt,permute-current,Permute,candidate,opt,process,recorded,1,87829000,0,pass
mandelbrot-noopt,mandelbrot-current,Mandelbrot,baseline,noopt,process,recorded,1,160012000,0,pass
mandelbrot-opt,mandelbrot-current,Mandelbrot,candidate,opt,process,recorded,1,149549000,0,pass
towers-noopt,towers-current,Towers,baseline,noopt,process,recorded,1,319351000,0,pass
towers-opt,towers-current,Towers,candidate,opt,process,recorded,1,638083000,0,pass
bounce-noopt,bounce-current,Bounce,baseline,noopt,process,recorded,1,62753000,0,pass
bounce-opt,bounce-current,Bounce,candidate,opt,process,recorded,1,41512000,0,pass
storage-noopt,storage-current,Storage,baseline,noopt,process,recorded,1,817459000,0,pass
storage-opt,storage-current,Storage,candidate,opt,process,recorded,1,862953000,0,pass
list-noopt,list-current,List,baseline,noopt,process,recorded,1,195592000,0,pass
list-opt,list-current,List,candidate,opt,process,recorded,1,88604000,0,pass
richards-noopt,richards-current,Richards,baseline,noopt,process,recorded,1,42233000,0,pass
richards-opt,richards-current,Richards,candidate,opt,process,recorded,1,456039000,0,pass
json-noopt,json-current,JSON,baseline,noopt,process,recorded,1,266393000,0,pass
json-opt,json-current,JSON,candidate,opt,process,recorded,1,263847000,0,pass
base64-noopt,base64-current,Base64,baseline,noopt,process,recorded,1,377040000,0,pass
base64-opt,base64-current,Base64,candidate,opt,process,recorded,1,406245000,0,pass
rexxcps-noopt,rexxcps-current,RexxCPS,baseline,noopt,process,recorded,1,986381000,0,pass
rexxcps-opt,rexxcps-current,RexxCPS,candidate,opt,process,recorded,1,811995000,0,pass
