rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,3827800,9,1,2,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)","r1=R1;r2=R3","benchmark_awfy_list_opt",185
2,3820600,5,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)","r1=R12;r2=R9;c1=int:1;r3=R1","benchmark_awfy_list_opt",565
3,2089000,2,1,3,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R17;r2=R9;c1=label@518","benchmark_awfy_list_opt",500
4,1875200,1,1,4,candidate,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3)","c1=label@585;r1=R11;r2=R12;r3=R1","benchmark_awfy_list_opt",538
5,1875200,1,1,2,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R12;c1=int:0","benchmark_awfy_list_opt",544
6,1875200,1,1,3,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R12;c1=int:0;c2=label@555","benchmark_awfy_list_opt",546
7,1875200,1,1,2,candidate,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1)","r1=R12;r2=R1","benchmark_awfy_list_opt",541
8,1407600,18,1,3,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1)","r1=R18;c1=int:256;r2=R2","benchmark_awfy_list_opt",413
9,569400,6,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)","r1=R5;c1=int:18;c2=int:1","benchmark_awfy_list_opt",158
10,335100,2,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R1;r2=R12","benchmark_awfy_list_opt",569
11,284300,2,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r1,r2)","c1=int:18;c2=int:1;r1=R8;r2=R9","benchmark_awfy_list_opt",448
12,284300,5,1,6,candidate,"SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r2,c2,r3,r4,r1)","r1=R15;c1=int:768;r2=R2;c2=func@21608;r3=R18;r4=R14","benchmark_awfy_list_opt",368
13,281000,2,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r1,r2,r3,r4)","c1=int:18;c2=int:1;r1=R8;r2=R2;r3=R3;r4=R4","benchmark_awfy_list_opt",334
14,280900,1,1,4,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)","r1=R1;r2=R15;r3=R3;r4=R16","benchmark_awfy_list_opt",529
15,280900,1,1,3,candidate,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1)","r1=R3;r2=R16;r3=R11","benchmark_awfy_list_opt",532
16,280900,1,1,3,candidate,"NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3)","r1=R1;r2=R3;r3=R15","benchmark_awfy_list_opt",526
