# PERF3 closeout portfolio-v2 Apple M5 product/source/generated inventory.
# role|runtime|workload|form|path
crexx-artifact-inventory|1
product|crexx|toolchain|compiler|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxc
product|crexx|toolchain|assembler|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxas
product|crexx|toolchain|linker|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxlink
product|crexx|toolchain|disassembler|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxdas
product|crexx|runtime|selected-executable|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxvm
control|crexx|runtime|threaded-executable|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxtvm
control|crexx|runtime|bytecode-executable|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/rxbvm
product|crexx|library|linked-rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/bin/library.rxbin
build|crexx|toolchain|cmake-cache|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/CMakeCache.txt
tool|crexx|PERF3-closeout|matrix-driver|performance/tools/run_cross_runtime_matrix.crexx
tool|crexx|PERF3-closeout|lifecycle-driver|performance/tools/run_lifecycle.crexx
tool|crexx|PERF3-closeout|artifact-inventory|performance/tools/inventory_performance_artifacts.crexx
tool|crexx|PERF3-closeout|fusion-inventory|performance/tools/inventory_fusions.crexx
manifest|all|PERF3-closeout|portfolio-contract|performance/portfolio/manifest-v2.md
manifest|all|PERF3-closeout|formal-matrix|performance/manifests/perf3-closeout-current-mac-v2.txt
manifest|all|PERF3-closeout|timing-noise-append|performance/manifests/perf3-closeout-current-mac-v2-noise-append.txt
manifest|crexx|PERF3-closeout|fusion-census|performance/manifests/perf3-closeout-fusion-census-v2.txt
benchmark|crexx|Sieve|source|tests/benchmarks/awfy_sieve.crexx
benchmark|crexx|Sieve|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas
benchmark|crexx|Sieve|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin
benchmark|crexx|Permute|source|tests/benchmarks/awfy_permute.crexx
benchmark|crexx|Permute|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas
benchmark|crexx|Permute|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin
benchmark|crexx|Mandelbrot|source|tests/benchmarks/awfy_mandelbrot.crexx
benchmark|crexx|Mandelbrot|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxas
benchmark|crexx|Mandelbrot|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_mandelbrot_opt.rxbin
benchmark|crexx|Mandelbrot-hoisted|source|tests/benchmarks/awfy_mandelbrot_hoisted_control.crexx
benchmark|crexx|Mandelbrot-hoisted|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_mandelbrot_hoisted_control_opt.rxas
benchmark|crexx|Mandelbrot-hoisted|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_mandelbrot_hoisted_control_opt.rxbin
benchmark|crexx|Towers|source|tests/benchmarks/awfy_towers.crexx
benchmark|crexx|Towers|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxas
benchmark|crexx|Towers|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_towers_opt.rxbin
benchmark|crexx|Bounce|source|tests/benchmarks/awfy_bounce.crexx
benchmark|crexx|Bounce|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas
benchmark|crexx|Bounce|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin
benchmark|crexx|Storage|source|tests/benchmarks/awfy_storage.crexx
benchmark|crexx|Storage|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxas
benchmark|crexx|Storage|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_storage_opt.rxbin
benchmark|crexx|List|source|tests/benchmarks/awfy_list.crexx
benchmark|crexx|List|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_list_opt.rxas
benchmark|crexx|List|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_list_opt.rxbin
benchmark|crexx|Richards|source|tests/benchmarks/awfy_richards.crexx
benchmark|crexx|Richards|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas
benchmark|crexx|Richards|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin
benchmark|crexx|JSON-legacy|source|tests/benchmarks/json_parser.crexx
benchmark|crexx|JSON-legacy|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_parser_opt.rxas
benchmark|crexx|JSON-legacy|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_parser_opt.rxbin
benchmark|crexx|JSON-parse|source|tests/benchmarks/json_parse.crexx
benchmark|crexx|JSON-parse|rxas|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_parse_opt.rxas
benchmark|crexx|JSON-parse|rxbin|/private/tmp/crexx-perf3-closeout-v2.U7d5fV/build-release/tests/benchmarks/benchmark_json_parse_opt.rxbin
benchmark|crexx|JSON-query|source|tests/benchmarks/json_query.crexx
