rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,685000,6,1,7,candidate,"IGT_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c3,r3)","r1=R20;r2=R10;c1=int:0;c2=label@816;r3=R21;r4=R17;c3=label@787","benchmark_base64_roundtrip_opt",769
2,685000,6,1,8,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_STRING(r2,c2) | ILT_REG_REG_INT(r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R13;c1=int:0;r2=R16;c2=string@256;r3=R20;r4=R1;c3=int:1;c4=label@728","benchmark_base64_roundtrip_opt",712
3,685000,6,1,9,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_STRING(r3,c3) | ILT_REG_REG_INT(r4,r5,c4)","r1=R11;c1=string@48912;r2=R13;c2=int:0;r3=R16;c3=string@256;r4=R20;r5=R1;c4=int:1","benchmark_base64_roundtrip_opt",709
4,685000,6,1,8,candidate,"STRLEN_REG_REG(r1,r2) | ISUB_REG_REG_INT(r3,r4,c1) | ISUB_REG_REG_REG(r5,r1,r3) | BGE_ID_REG_INT(c2,r5,c3)","r1=R19;r2=R18;r3=R17;r4=R1;c1=int:1;r5=R9;c2=label@759;c3=int:0","benchmark_base64_roundtrip_opt",741
5,683000,4,1,6,candidate,"LOAD_REG_INT(r1,c1) | STRPOS_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | BR_ID(c2)","r1=R37;c1=int:1;r2=R34;r3=R35;r4=R33;c2=label@1225","benchmark_base64_roundtrip_opt",1213
6,683000,4,1,6,candidate,"LOAD_REG_STRING(r1,c1) | SEQ_REG_REG_STRING(r2,r3,c2) | BRT_ID_REG(c3,r2) | SEQ_REG_REG_STRING(r2,r1,c2)","r1=R35;c1=string@45544;r2=R33;r3=R34;c2=string@256;c3=label@1202","benchmark_base64_roundtrip_opt",1188
7,683000,4,1,7,candidate,"NULL_REG(r1) | SCOPY_REG_REG(r2,r3) | LOAD_REG_STRING(r4,c1) | SEQ_REG_REG_STRING(r5,r2,c2)","r1=R37;r2=R34;r3=R15;r4=R35;c1=string@45544;r5=R33;c2=string@256","benchmark_base64_roundtrip_opt",1183
8,683000,4,1,7,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SEQ_REG_REG_STRING(r4,r1,c2) | BRT_ID_REG(c3,r4)","r1=R34;r2=R15;r3=R35;c1=string@45544;r4=R33;c2=string@256;c3=label@1202","benchmark_base64_roundtrip_opt",1185
9,683000,4,1,6,candidate,"SEQ_REG_REG_STRING(r1,r2,c1) | BRT_ID_REG(c2,r1) | SEQ_REG_REG_STRING(r1,r3,c1) | BRF_ID_REG(c3,r1)","r1=R33;r2=R34;c1=string@256;c2=label@1202;r3=R35;c3=label@1213","benchmark_base64_roundtrip_opt",1191
10,514000,5,1,8,candidate,"SETSTRPOS_REG_REG(r1,r2) | SUBSTRING_REG_REG_REG(r3,r1,r4) | ISUB_REG_INT_REG(r5,c1,r4) | BLE_ID_REG_INT(c2,r5,c3)","r1=R18;r2=R17;r3=R16;r4=R10;r5=R15;c1=int:1;c2=label@832;c3=int:0","benchmark_base64_roundtrip_opt",809
