case,bytes,expected_sha256,pure_rxtvm,pure_rxbvm,native_rxtvm,native_rxbvm
empty,0,E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855,pass,pass,pass,pass
abc,3,BA7816BF8F01CFEA414140DE5DAE2223B00361A396177A9CB410FF61F20015AD,pass,pass,pass,pass
embedded-zero,5,EF7E301027F931DFBA06C7DED4EF305797F43CC115A664F9AF9B57D08C3172C2,pass,pass,pass,pass
generated-55,55,8AA994584139D128848EEEBC4E815639BA5AB6E6E39574195A63AC4F14F7C43B,pass,pass,pass,pass
generated-56,56,AD574708F75C044C9B85DE64CB568EE7711FF4F36448C6242F053BA8F6CC2B63,pass,pass,pass,pass
generated-63,63,280ED3E8FF1DF845B2E7DFE6AC6CEE817BEF20E783CC65ABC41B818B4D2FE076,pass,pass,pass,pass
generated-64,64,C6AB9724ADE5B6A7A1EDFFFB12F3AA9181351355AF8FD08C919952AD211339DD,pass,pass,pass,pass
generated-65,65,788367C73C7DDF4C53F65E68CC0D943E6227AB55B0E78BA63ACE822B1C6301C0,pass,pass,pass,pass
generated-4096,4096,D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E,pass,pass,pass,pass
generated-1048576,1048576,06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286,pass,pass,pass,pass
