payload_bytes,iterations,vm,pure_n,native_n,direct_c_n,pure_kernel_us,native_kernel_us,direct_c_us,native_speedup,pure_mib_s,native_mib_s,direct_c_mib_s,pure_process_ms,native_process_ms
64,20000,rxtvm,3,3,3,1595702,7453,5745,214.10,0.765,163.787,212.481,1606.710,13.178
64,20000,rxbvm,3,13,3,1447543,7366,5745,196.52,0.843,165.721,212.481,1455.600,15.727
4096,500,rxtvm,3,13,13,1266795,5010,4791,252.85,1.542,389.845,407.665,1278.320,13.213
4096,500,rxbvm,3,13,13,1145984,4954,4791,231.32,1.704,394.252,407.665,1156.550,13.542
1048576,2,rxtvm,3,3,3,1265165,5052,4722,250.43,1.581,395.883,423.549,1285.450,25.736
1048576,2,rxbvm,3,13,3,1158896,4919,4722,235.60,1.726,406.587,423.549,1192.010,30.016
