phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
recorded,1,rxbvm,float-read,wrapper-float-read,1,21589,92639770,1000000
recorded,1,rxbvm,float-read,direct-float-read,2,11029,181340103,1000000
recorded,1,rxbvm,float-write,wrapper-float-write,3,29795,67125356,200019
recorded,1,rxbvm,float-write,direct-float-write,4,36090,55417013,200019
recorded,1,rxbvm,int-read,wrapper-int-read,5,14797,135162532,2000000
recorded,1,rxbvm,int-read,direct-int-read,6,11495,173988690,2000000
recorded,1,rxbvm,int-read,encoded-int-read,7,21627,92476996,2000000
recorded,1,rxbvm,int-write,wrapper-int-write,8,12588,158881474,200019
recorded,1,rxbvm,int-write,direct-int-write,9,19629,101890060,200019
recorded,1,rxbvm,int-write,encoded-int-write,10,35549,56260373,200019
recorded,1,rxtvm,float-read,wrapper-float-read,11,25523,78360694,1000000
recorded,1,rxtvm,float-read,direct-float-read,12,10330,193610842,1000000
recorded,1,rxtvm,float-write,wrapper-float-write,13,24323,82226699,200019
recorded,1,rxtvm,float-write,direct-float-write,14,36670,54540496,200019
recorded,1,rxtvm,int-read,wrapper-int-read,15,12147,164649707,2000000
recorded,1,rxtvm,int-read,direct-int-read,16,10257,194988788,2000000
recorded,1,rxtvm,int-read,encoded-int-read,17,23288,85881140,2000000
recorded,1,rxtvm,int-write,wrapper-int-write,18,10762,185839063,200019
recorded,1,rxtvm,int-write,direct-int-write,19,21538,92859132,200019
recorded,1,rxtvm,int-write,encoded-int-write,20,37240,53705692,200019
recorded,2,rxtvm,int-write,encoded-int-write,1,36844,54282922,200019
recorded,2,rxtvm,int-write,direct-int-write,2,21354,93659267,200019
recorded,2,rxtvm,int-write,wrapper-int-write,3,10834,184604024,200019
recorded,2,rxtvm,int-read,encoded-int-read,4,23573,84842828,2000000
recorded,2,rxtvm,int-read,direct-int-read,5,10326,193685841,2000000
recorded,2,rxtvm,int-read,wrapper-int-read,6,12227,163572421,2000000
recorded,2,rxtvm,float-write,direct-float-write,7,39372,50797521,200019
recorded,2,rxtvm,float-write,wrapper-float-write,8,24312,82263902,200019
recorded,2,rxtvm,float-read,direct-float-read,9,10309,194005238,1000000
recorded,2,rxtvm,float-read,wrapper-float-read,10,25561,78244200,1000000
recorded,2,rxbvm,int-write,encoded-int-write,11,50299,39762221,200019
recorded,2,rxbvm,int-write,direct-int-write,12,19062,104920784,200019
recorded,2,rxbvm,int-write,wrapper-int-write,13,13349,149823956,200019
recorded,2,rxbvm,int-read,encoded-int-read,14,20887,95753339,2000000
recorded,2,rxbvm,int-read,direct-int-read,15,11937,167546284,2000000
recorded,2,rxbvm,int-read,wrapper-int-read,16,16541,120911674,2000000
recorded,2,rxbvm,float-write,direct-float-write,17,36930,54156512,200019
recorded,2,rxbvm,float-write,wrapper-float-write,18,20957,95433506,200019
recorded,2,rxbvm,float-read,direct-float-read,19,11536,173370319,1000000
recorded,2,rxbvm,float-read,wrapper-float-read,20,22525,88790233,1000000
recorded,3,rxbvm,float-read,wrapper-float-read,1,22266,89823048,1000000
recorded,3,rxbvm,float-read,direct-float-read,2,11085,180423996,1000000
recorded,3,rxbvm,float-write,wrapper-float-write,3,20368,98193244,200019
recorded,3,rxbvm,float-write,direct-float-write,4,37754,52974519,200019
recorded,3,rxbvm,int-read,wrapper-int-read,5,15559,128542965,2000000
recorded,3,rxbvm,int-read,direct-int-read,6,12629,158365666,2000000
recorded,3,rxbvm,int-read,encoded-int-read,7,21292,93931993,2000000
recorded,3,rxbvm,int-write,wrapper-int-write,8,13194,151584053,200019
recorded,3,rxbvm,int-write,direct-int-write,9,18921,105702658,200019
recorded,3,rxbvm,int-write,encoded-int-write,10,34533,57915616,200019
recorded,3,rxtvm,float-read,wrapper-float-read,11,25515,78385263,1000000
recorded,3,rxtvm,float-read,direct-float-read,12,10261,194912776,1000000
recorded,3,rxtvm,float-write,wrapper-float-write,13,24456,81779522,200019
recorded,3,rxtvm,float-write,direct-float-write,14,39287,50907424,200019
recorded,3,rxtvm,int-read,wrapper-int-read,15,12515,159808230,2000000
recorded,3,rxtvm,int-read,direct-int-read,16,10510,190294957,2000000
recorded,3,rxtvm,int-read,encoded-int-read,17,23431,85357005,2000000
recorded,3,rxtvm,int-write,wrapper-int-write,18,10798,185219485,200019
recorded,3,rxtvm,int-write,direct-int-write,19,21657,92348894,200019
recorded,3,rxtvm,int-write,encoded-int-write,20,52322,38224838,200019
recorded,4,rxtvm,int-write,encoded-int-write,1,37193,53773559,200019
