phase,round,vm,kind,variant,position,elapsed_us,items_per_second,checksum
warmup,0,rxbvm,float-read,wrapper-float-read,1,23561,84886040,1000000
warmup,0,rxbvm,float-read,direct-float-read,2,11896,168123739,1000000
warmup,0,rxbvm,float-write,wrapper-float-write,3,21075,94899169,200019
warmup,0,rxbvm,float-write,direct-float-write,4,37564,53242466,200019
warmup,0,rxbvm,int-read,wrapper-int-read,5,16348,122339124,2000000
warmup,0,rxbvm,int-read,direct-int-read,6,12995,153905348,2000000
warmup,0,rxbvm,int-read,encoded-int-read,7,20932,95547487,2000000
warmup,0,rxbvm,int-write,wrapper-int-write,8,14145,141392718,200019
warmup,0,rxbvm,int-write,direct-int-write,9,19636,101853738,200019
warmup,0,rxbvm,int-write,encoded-int-write,10,37121,53877858,200019
warmup,0,rxtvm,float-read,wrapper-float-read,11,26443,75634383,1000000
warmup,0,rxtvm,float-read,direct-float-read,12,10987,182033312,1000000
warmup,0,rxtvm,float-write,wrapper-float-write,13,24767,80752614,200019
warmup,0,rxtvm,float-write,direct-float-write,14,39530,50594485,200019
warmup,0,rxtvm,int-read,wrapper-int-read,15,12175,164271047,2000000
warmup,0,rxtvm,int-read,direct-int-read,16,10427,191809724,2000000
warmup,0,rxtvm,int-read,encoded-int-read,17,22981,87028414,2000000
warmup,0,rxtvm,int-write,wrapper-int-write,18,10869,184009568,200019
warmup,0,rxtvm,int-write,direct-int-write,19,21399,93462311,200019
warmup,0,rxtvm,int-write,encoded-int-write,20,38231,52313567,200019
