vm,opcode,baseline_count,candidate_count,delta
rxbvm,SCOPY_REG_REG,805706,805703,-3
rxbvm,SEQ_REG_REG_REG,17884,17884,+0
rxbvm,SEQ_REG_REG_STRING,3512,3512,+0
rxbvm,SETATTRS_REG_INT,23625,4210,-19415
rxbvm,SETLINKATTR1_REG_REG_INT_REG,0,19415,+19415
rxbvm,SETNUMCAS_INT,2,2,+0
rxbvm,SETNUMFUZ_INT,4,4,+0
rxbvm,SETNUMSTD_INT,4,4,+0
rxbvm,SETOBJTYPE_REG_STRING,4210,4210,+0
rxbvm,SETOBJUNINIT_REG_STRING,9813,9813,+0
rxbvm,SETSTRPOS_REG_REG,94445,94444,-1
rxbvm,SETTPCALL_REG_FUNC_REG_REG_INT,0,56968,+56968
rxbvm,SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG,0,10100,+10100
rxbvm,SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG,0,1407,+1407
rxbvm,SETTPSWAP_REG_INT_REG,0,2800,+2800
rxbvm,SETTP_REG_INT,216807,82239,-134568
rxbvm,SRCFPROCSEL_REG_STRING_REG,7,7,+0
rxbvm,SRCMETHODSEL_REG_REG_STRING,2814,2814,+0
rxbvm,STOD_REG,8300,8300,+0
rxbvm,STOF_REG,200,200,+0
rxbvm,STOI_REG,11201,11200,-1
rxbvm,STRCHAR_REG_REG_REG,575056,575055,-1
rxbvm,STRLEN_REG_REG,224962,224960,-2
rxbvm,STRLOWER_REG_REG,16,16,+0
rxbvm,STRPOS_REG_REG_REG,3200,3200,+0
rxbvm,STRUPPER_REG_REG,37268,37268,+0
rxbvm,SUBSTRING_REG_REG_REG,94445,94444,-1
rxbvm,SWAPCALL_REG_FUNC_REG_REG_REG,0,802,+802
rxbvm,SWAPN_REG_REG_REG_REG,0,11200,+11200
rxbvm,SWAPN_REG_REG_REG_REG_REG_REG,0,1409,+1409
rxbvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,0,1406,+1406
rxbvm,SWAPSETTP_REG_REG_REG_INT,0,2,+2
rxbvm,SWAP_REG_REG,163212,58169,-105043
rxbvm,UNLINKBR_REG_ID,0,18200,+18200
rxbvm,UNLINKLINKATTR1_REG_REG_REG_INT,0,15,+15
rxbvm,UNLINKN_REG_REG,0,44136,+44136
rxbvm,UNLINK_REG,499186,323284,-175902
rxvm,APPENDCHAR_REG_REG,8,8,+0
rxvm,APPEND_REG_REG,1408,1408,+0
rxvm,ASSERTINITIALIZED_REG,23630,23630,+0
rxvm,ASSERTTYPE_REG_STRING,2807,2807,+0
rxvm,BCF_ID_REG,3200,3200,+0
rxvm,BCOPY_REG_REG,8400,8400,+0
rxvm,BCTP_ID_REG,194130,194130,+0
rxvm,BEQ_ID_REG_INT,3615,3599,-16
rxvm,BGE_ID_REG_INT,19045,19045,+0
rxvm,BGE_ID_REG_REG,4400,4400,+0
rxvm,BGT_ID_REG_REG,16800,16800,+0
rxvm,BLE_ID_REG_INT,7201,7201,+0
rxvm,BLE_ID_REG_REG,7000,7000,+0
rxvm,BNE_ID_REG_INT,41881,41881,+0
rxvm,BNE_ID_REG_REG,433,433,+0
rxvm,BPOFF,3300,3300,+0
rxvm,BRF_ID_REG,2954748,2954764,+16
rxvm,BRTF_ID_ID_REG,36254,36254,+0
rxvm,BRTPANDT_ID_REG_INT,81842,81842,+0
rxvm,BRT_ID_REG,744352,744352,+0
rxvm,BR_ID,802260,784060,-18200
rxvm,BTOI_REG,3002,3002,+0
rxvm,CALL_REG_FUNC_REG,106880,39010,-67870
rxvm,CONCAT_REG_REG_REG,1402,1402,+0
rxvm,CONCAT_REG_REG_STRING,8402,8402,+0
rxvm,CONCAT_REG_STRING_REG,14002,1402,-12600
rxvm,COPY_REG_REG,109152,109152,+0
rxvm,DADD_REG_REG_DECIMAL,2800,2800,+0
rxvm,DADD_REG_REG_REG,2800,2800,+0
rxvm,DCALL_REG_REG_REG,2821,2821,+0
rxvm,DCOPY_REG_REG,11100,11100,+0
rxvm,DEQ_REG_REG_DECIMAL,2800,2800,+0
rxvm,DGT_REG_REG_REG,7000,7000,+0
rxvm,DLT_REG_REG_DECIMAL,2800,2800,+0
rxvm,DMULT_REG_REG_DECIMAL,2700,2700,+0
rxvm,DTOS_REG,11100,11100,+0
rxvm,ENDLIFE_REG,5616,5616,+0
rxvm,FADD_REG_REG_REG,200,200,+0
rxvm,FCOPY_REG_REG,403,403,+0
rxvm,FDIV_REG_FLOAT_REG,1,1,+0
rxvm,FDIV_REG_REG_FLOAT,402,402,+0
rxvm,FDIV_REG_REG_REG,1,1,+0
