image,baseline_instructions,candidate_instructions,delta,baseline_rxas_bytes,candidate_rxas_bytes,delta_bytes
awfy_bounce-noopt,266,204,-62,23926,23261,-665
awfy_bounce-opt,473,383,-90,48620,47472,-1148
awfy_list-noopt,367,309,-58,36337,35904,-433
awfy_list-opt,365,309,-56,36967,36528,-439
awfy_mandelbrot-noopt,143,125,-18,20329,20158,-171
awfy_mandelbrot-opt,129,115,-14,19161,19001,-160
awfy_permute-noopt,162,128,-34,15027,14687,-340
awfy_permute-opt,365,258,-107,31760,30488,-1272
awfy_richards-noopt,1335,965,-370,112566,108606,-3960
awfy_richards-opt,3150,2104,-1046,271639,259769,-11870
awfy_sieve-noopt,89,75,-14,10319,10177,-142
awfy_sieve-opt,84,72,-12,9866,9729,-137
awfy_storage-noopt,209,168,-41,21313,20920,-393
awfy_storage-opt,274,221,-53,28288,27682,-606
awfy_towers-noopt,384,318,-66,38369,37725,-644
awfy_towers-opt,801,676,-125,84449,82946,-1503
base64_roundtrip-noopt,376,326,-50,47478,47182,-296
base64_roundtrip-opt,686,677,-9,115236,115149,-87
json_parser-noopt,64,54,-10,7549,7462,-87
json_parser-opt,51,43,-8,7518,7440,-78
rexxcps_levelb-noopt,1291,1108,-183,132366,131115,-1251
rexxcps_levelb-opt,1837,1702,-135,226493,225512,-981
