vm,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,3,1176279,1177732.667,1169351,1187568,8.52,8.507,8.43,8.57
rxbvm,3,1156303,1159467.000,1143771,1178327,8.67,8.643,8.50,8.76
