sequence,vm,phase,phase_sequence,native_cps,process_real_s,effective_count,pass,stdout,stderr
1,rxvm,warmup,1,1171836,8.55,100,1,raw/01-rxvm-warmup-1.stdout.txt,raw/01-rxvm-warmup-1.stderr.txt
2,rxvm,recorded,1,1176279,8.52,100,1,raw/02-rxvm-recorded-1.stdout.txt,raw/02-rxvm-recorded-1.stderr.txt
3,rxvm,recorded,2,1169351,8.57,100,1,raw/03-rxvm-recorded-2.stdout.txt,raw/03-rxvm-recorded-2.stderr.txt
4,rxvm,recorded,3,1187568,8.43,100,1,raw/04-rxvm-recorded-3.stdout.txt,raw/04-rxvm-recorded-3.stderr.txt
5,rxbvm,warmup,1,1141384,8.78,100,1,raw/05-rxbvm-warmup-1.stdout.txt,raw/05-rxbvm-warmup-1.stderr.txt
6,rxbvm,recorded,1,1156303,8.67,100,1,raw/06-rxbvm-recorded-1.stdout.txt,raw/06-rxbvm-recorded-1.stderr.txt
7,rxbvm,recorded,2,1178327,8.50,100,1,raw/07-rxbvm-recorded-2.stdout.txt,raw/07-rxbvm-recorded-2.stderr.txt
8,rxbvm,recorded,3,1143771,8.76,100,1,raw/08-rxbvm-recorded-3.stdout.txt,raw/08-rxbvm-recorded-3.stderr.txt
