entry,count_rank,total_time_rank,average_latency_rank,name,count,total_ns,average_ns,min_ns,max_ns,percent,status
list-r12-control,38,1,1,STOI_REG,1,0,0,0,0,0.000000,complete
list-r12-control,38,1,1,IGETUNLINK_REG_REG,1,0,0,0,0,0.000000,complete
list-r12-control,38,1,1,MINLINKATTR1_REG_REG_INT,1,0,0,0,0,0.000000,complete
list-r12-control,38,1,1,SAY_REG,1,0,0,0,0,0.000000,complete
list-r12-control,38,1,1,SAY_STRING,1,0,0,0,0,0.000000,complete
list-r12-control,38,1,1,BRTPANDT_ID_REG_INT,1,0,0,0,0,0.000000,complete
list-r12-candidate,1,1,1,BRF_ID_REG,4248602,0,0,0,0,0.000000,complete
list-r12-candidate,2,1,1,REFVALID_REG_REG,3965200,0,0,0,0,0.000000,complete
list-r12-candidate,3,1,1,RELINKREF_REG_REG,3827800,0,0,0,0,0.000000,complete
list-r12-candidate,4,1,1,COPYATTR1_REG_REG_INT,3820600,0,0,0,0,0.000000,complete
list-r12-candidate,5,1,1,SETTP_REG_INT,1977300,0,0,0,0,0.000000,complete
list-r12-candidate,6,1,1,IEQ_REG_REG_INT,1878600,0,0,0,0,0.000000,complete
list-r12-candidate,7,1,1,BTOI_REG,1876200,0,0,0,0,0.000000,complete
list-r12-candidate,8,1,1,BR_ID,1805001,0,0,0,0,0.000000,complete
list-r12-candidate,9,1,1,NUMSCI_INT_INT_INT,572501,0,0,0,0,0.000000,complete
list-r12-candidate,10,1,1,COPY_REG_REG,570701,0,0,0,0,0.000000,complete
list-r12-candidate,11,1,1,ASSERTINITIALIZED_REG,569400,0,0,0,0,0.000000,complete
list-r12-candidate,12,1,1,NULLN_REG_REG,565200,0,0,0,0,0.000000,complete
list-r12-candidate,13,1,1,ENDLIFE_REG,421401,0,0,0,0,0.000000,complete
list-r12-candidate,14,1,1,RET_REG,291500,0,0,0,0,0.000000,complete
list-r12-candidate,15,1,1,CALL3_REG_FUNC_REG_REG_REG,284300,0,0,0,0,0.000000,complete
list-r12-candidate,16,1,1,RET_INT,281001,0,0,0,0,0.000000,complete
list-r12-candidate,17,1,1,NULLN_REG_REG_REG_REG,281000,0,0,0,0,0.000000,complete
list-r12-candidate,18,1,1,CALL4_REG_FUNC_REG_REG_REG_REG,280900,0,0,0,0,0.000000,complete
list-r12-candidate,19,1,1,UNLINKN_REG_REG,216900,0,0,0,0,0.000000,complete
list-r12-candidate,20,1,1,LINKATTR1_REG_REG_INT,20200,0,0,0,0,0.000000,complete
list-r12-candidate,21,1,1,UNLINK_REG,14000,0,0,0,0,0.000000,complete
list-r12-candidate,22,1,1,ISETATTR1_REG_INT_REG,6300,0,0,0,0,0.000000,complete
list-r12-candidate,23,1,1,MINLINKATTR1_REG_REG_REG_INT,6200,0,0,0,0,0.000000,complete
list-r12-candidate,24,1,1,CALL1_REG_FUNC_REG,4200,0,0,0,0,0.000000,complete
list-r12-candidate,25,1,1,IADD_REG_REG_INT,4000,0,0,0,0,0.000000,complete
list-r12-candidate,26,1,1,MKREF_REG_REG,3400,0,0,0,0,0.000000,complete
list-r12-candidate,27,1,1,SETOBJTYPE_REG_STRING,3300,0,0,0,0,0.000000,complete
list-r12-candidate,27,1,1,SETATTRS_REG_INT,3300,0,0,0,0,0.000000,complete
