workload,allocation_calls,cumulative_requested_bytes,cumulative_capacity_bytes,peak_live_capacity_bytes,retained_slab_bytes,peak_oversized_live_bytes,oversized_allocation_calls,maximum_oversized_request_bytes
sieve,1473,3972302,4125060,4087172,1179648,3494388,18,1966080
richards,1916,2253140,2417484,2379148,1441792,1451148,16,359184
base64,3984,4488646,4649540,2052676,1179648,1397236,15,359184
json,11533,2600830,2770004,2412052,1179648,1756068,29,359184
towers,48285887,25496174757,25496417716,3170996,1376256,1397236,15,359184
rexxcps,691566,138549593,138719068,2198476,1310720,1455948,17,359184
