workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
List-opt,233,34,16186,00b177a6964a0136eb6e622d0cfcee77fb1050967b3de084c819a78b0d03cd64,54224,859953,0bbb30bab0701d47078e9264c60738c8fc9a4e51c6e382a8354d187e8be4500d,54457,876139
Permute-opt,225,27,11925,bd7bc9c4d4b09a5a582e7666e4a5d5ef3b48eb35c9135cd6d2dfd07f1a00e6ae,54224,859953,0bbb30bab0701d47078e9264c60738c8fc9a4e51c6e382a8354d187e8be4500d,54449,871878
Richards-opt,1865,62,79086,2dfb50d7de0ed3d6dd9272f98db6065f7ea5daa1273648d4f9752c67214faff9,54224,859953,0bbb30bab0701d47078e9264c60738c8fc9a4e51c6e382a8354d187e8be4500d,56089,939039
JSON-opt,46,9,4001,18b858eb7be8a14ef1905deb83e266354b4d3849d939e3b5238a7046b89a89b6,54224,859953,0bbb30bab0701d47078e9264c60738c8fc9a4e51c6e382a8354d187e8be4500d,54270,863954
RexxCPS-opt,1402,105,77438,9b535403baddc5b7076d5eb23027a296d982660546bcecc74d3784bb2fa23741,54224,859953,0bbb30bab0701d47078e9264c60738c8fc9a4e51c6e382a8354d187e8be4500d,55626,937391
