workload,program_static_instructions,program_max_locals,program_rxbin_bytes,program_rxbin_sha256,shared_static_instructions,shared_rxbin_bytes,shared_rxbin_sha256,module_set_static_instructions,module_set_rxbin_bytes
List-opt,233,34,16186,00b177a6964a0136eb6e622d0cfcee77fb1050967b3de084c819a78b0d03cd64,54387,860545,175c26eefce0628ce361ceb4774d85edd79121ad230d17852ae64151eef5e599,54620,876731
Permute-opt,227,28,11925,13dbc6548929557b9d80e8df015025a6556c0091a7ce53f6123e10326bcdbec0,54387,860545,175c26eefce0628ce361ceb4774d85edd79121ad230d17852ae64151eef5e599,54614,872470
Richards-opt,1867,62,79094,6aad1ca91ddb53089fe0b5040f47e1267cabf6bf13c1cc8527b8940d77b50f9a,54387,860545,175c26eefce0628ce361ceb4774d85edd79121ad230d17852ae64151eef5e599,56254,939639
JSON-opt,46,9,4001,18b858eb7be8a14ef1905deb83e266354b4d3849d939e3b5238a7046b89a89b6,54387,860545,175c26eefce0628ce361ceb4774d85edd79121ad230d17852ae64151eef5e599,54433,864546
RexxCPS-opt,1402,105,77438,9b535403baddc5b7076d5eb23027a296d982660546bcecc74d3784bb2fa23741,54387,860545,175c26eefce0628ce361ceb4774d85edd79121ad230d17852ae64151eef5e599,55789,937983
