kind,vm,variant,n,kernel_mean_us,kernel_median_us,kernel_min_us,kernel_max_us,kernel_sd_us,kernel_cv_pct,process_median_s,paired_public_speedup_median,paired_public_speedup_min,paired_public_speedup_max,public_over_direct_median,public_over_direct_min,public_over_direct_max
cell,rxbvm,pure,12,131178.6,130632.5,125424,137161,4140.1,3.156,0.140,,,,,,
cell,rxbvm,public,12,8444.0,8431.0,8291,8657,101.7,1.204,0.020,,,,,,
cell,rxbvm,direct,12,8551.1,8540.5,8418,8758,112.4,1.314,0.020,,,,,,
paired,rxbvm,,,,,,,,,,15.622,14.733,16.116,0.9869,0.9721,0.9978
cell,rxtvm,pure,12,124823.6,124793.0,123104,127912,1256.6,1.007,0.130,,,,,,
cell,rxtvm,public,12,8499.8,8486.0,8273,8899,150.1,1.766,0.020,,,,,,
cell,rxtvm,direct,12,8558.2,8510.5,8398,8737,117.5,1.374,0.020,,,,,,
paired,rxtvm,,,,,,,,,,14.682,14.374,15.175,0.9955,0.9670,1.0192
