phase,round,sequence,vm,variant,kernel_us,process_real_s,checksum,exit_code
warmup,0,1,rxbvm,pure,129901,0.15,1034.2,0
warmup,0,2,rxbvm,public,8261,0.02,1034.2,0
warmup,0,3,rxbvm,direct,8317,0.02,1034.2,0
warmup,0,4,rxtvm,pure,124689,0.14,1034.2,0
warmup,0,5,rxtvm,public,8287,0.02,1034.2,0
warmup,0,6,rxtvm,direct,8383,0.02,1034.2,0
sample,1,7,rxbvm,pure,127560,0.14,1034.2,0
sample,1,8,rxbvm,public,8291,0.02,1034.2,0
sample,1,9,rxbvm,direct,8418,0.02,1034.2,0
sample,1,10,rxtvm,pure,124793,0.13,1034.2,0
sample,1,11,rxtvm,public,8484,0.02,1034.2,0
sample,1,12,rxtvm,direct,8517,0.02,1034.2,0
sample,2,13,rxtvm,direct,8398,0.02,1034.2,0
sample,2,14,rxtvm,public,8273,0.02,1034.2,0
sample,2,15,rxtvm,pure,125541,0.13,1034.2,0
sample,2,16,rxbvm,direct,8489,0.02,1034.2,0
sample,2,17,rxbvm,public,8380,0.02,1034.2,0
sample,2,18,rxbvm,pure,129867,0.14,1034.2,0
sample,3,19,rxbvm,pure,130745,0.14,1034.2,0
sample,3,20,rxbvm,public,8334,0.02,1034.2,0
sample,3,21,rxbvm,direct,8419,0.02,1034.2,0
sample,3,22,rxtvm,pure,124866,0.13,1034.2,0
sample,3,23,rxtvm,public,8407,0.02,1034.2,0
sample,3,24,rxtvm,direct,8694,0.02,1034.2,0
sample,4,25,rxtvm,direct,8659,0.02,1034.2,0
sample,4,26,rxtvm,public,8488,0.02,1034.2,0
sample,4,27,rxtvm,pure,124570,0.13,1034.2,0
sample,4,28,rxbvm,direct,8420,0.02,1034.2,0
sample,4,29,rxbvm,public,8398,0.02,1034.2,0
sample,4,30,rxbvm,pure,128103,0.14,1034.2,0
sample,5,31,rxbvm,pure,137035,0.15,1034.2,0
sample,5,32,rxbvm,public,8503,0.02,1034.2,0
sample,5,33,rxbvm,direct,8552,0.02,1034.2,0
sample,5,34,rxtvm,pure,124793,0.13,1034.2,0
sample,5,35,rxtvm,public,8445,0.02,1034.2,0
sample,5,36,rxtvm,direct,8431,0.02,1034.2,0
sample,6,37,rxtvm,direct,8492,0.02,1034.2,0
sample,6,38,rxtvm,public,8526,0.02,1034.2,0
sample,6,39,rxtvm,pure,125232,0.13,1034.2,0
sample,6,40,rxbvm,direct,8529,0.02,1034.2,0
sample,6,41,rxbvm,public,8510,0.02,1034.2,0
sample,6,42,rxbvm,pure,133040,0.14,1034.2,0
sample,7,43,rxbvm,pure,130520,0.14,1034.2,0
sample,7,44,rxbvm,public,8361,0.02,1034.2,0
sample,7,45,rxbvm,direct,8501,0.02,1034.2,0
sample,7,46,rxtvm,pure,123247,0.13,1034.2,0
sample,7,47,rxtvm,public,8514,0.02,1034.2,0
sample,7,48,rxtvm,direct,8504,0.02,1034.2,0
sample,8,49,rxtvm,direct,8479,0.02,1034.2,0
sample,8,50,rxtvm,public,8389,0.02,1034.2,0
sample,8,51,rxtvm,pure,125607,0.13,1034.2,0
sample,8,52,rxbvm,direct,8674,0.02,1034.2,0
sample,8,53,rxbvm,public,8518,0.02,1034.2,0
sample,8,54,rxbvm,pure,134330,0.14,1034.2,0
sample,9,55,rxbvm,pure,125433,0.13,1034.2,0
sample,9,56,rxbvm,public,8514,0.02,1034.2,0
sample,9,57,rxbvm,direct,8758,0.02,1034.2,0
sample,9,58,rxtvm,pure,123104,0.13,1034.2,0
sample,9,59,rxtvm,public,8450,0.02,1034.2,0
sample,9,60,rxtvm,direct,8492,0.02,1034.2,0
sample,10,61,rxtvm,direct,8565,0.02,1034.2,0
sample,10,62,rxtvm,public,8531,0.02,1034.2,0
sample,10,63,rxtvm,pure,124061,0.13,1034.2,0
sample,10,64,rxbvm,direct,8591,0.02,1034.2,0
sample,10,65,rxbvm,public,8407,0.02,1034.2,0
sample,10,66,rxbvm,pure,125424,0.13,1034.2,0
sample,11,67,rxbvm,pure,137161,0.15,1034.2,0
sample,11,68,rxbvm,public,8657,0.02,1034.2,0
sample,11,69,rxbvm,direct,8692,0.02,1034.2,0
sample,11,70,rxtvm,pure,127912,0.14,1034.2,0
sample,11,71,rxtvm,public,8899,0.02,1034.2,0
sample,11,72,rxtvm,direct,8731,0.02,1034.2,0
sample,12,73,rxtvm,direct,8737,0.02,1034.2,0
sample,12,74,rxtvm,public,8591,0.02,1034.2,0
sample,12,75,rxtvm,pure,124157,0.13,1034.2,0
sample,12,76,rxbvm,direct,8570,0.02,1034.2,0
sample,12,77,rxbvm,public,8455,0.02,1034.2,0
sample,12,78,rxbvm,pure,134925,0.14,1034.2,0
