kind,variant,name,path,bytes,sha256
tool,baseline,rxc,cmake-build-nr14-candidate/bin/rxc,2616448,d34e19e573017b77785d1b5f739dc8912575dd4cc70c2ebeb36d1a99e5e7924d
tool,candidate,rxc,cmake-build-release/bin/rxc,2634304,44cda85638fbce69d3c9fc84b96b500eb96bedebc454731b70c714d2ea8591b2
tool,baseline,rxas,cmake-build-nr14-candidate/bin/rxas,529208,ef07618978cbb262b35fc1ddb6dc7dc353efe64e538a84bb76d38a3fc7455ba1
tool,candidate,rxas,cmake-build-release/bin/rxas,529208,f2cc06c11b8c68711d1ab9acaecca72f5e94bf7b5e8fbfd16ddcb890f9371e8d
tool,shared,rxlink,cmake-build-release/bin/rxlink,145416,0de69718abe82e64160788bebb1c317f83ae8341a38b6b103f4578c11df7562b
runtime,shared,rxvm,cmake-build-release/bin/rxvm,916168,f68dc1cb731de0bfb24e8cbf5317f01376a294528d446334db0b3d7ad46e761c
runtime,shared,rxbvm,cmake-build-release/bin/rxbvm,899768,8b3ccb244421e8377230c291ea6295ab3ce5223645b22aa9041967471870fc8f
library,baseline,library,cmake-build-nr14-candidate/bin/library.rxbin,866832,62506c1e0520b1f162ba38af5e0389f3ea3f75aba834cbe812820f1bfa19643d
library,candidate,library,cmake-build-release/bin/library.rxbin,866504,cf06f2bb3586497905a7b600bffbc6c747035142e1c7212f5080911ffa07ca55
source,shared,matrix-runner,performance/tools/run_cross_runtime_matrix.crexx,,77cfd1d1b4532b545d19f8313ac74567211834ca4fd7e2537a493c8f40bbceab
source,shared,mandelbrot,tests/benchmarks/awfy_mandelbrot.crexx,,554c622367c89a9953326b4c370008e56fcea167cf63e1f09cdf305fc68b8b9f
source,shared,permute,tests/benchmarks/awfy_permute.crexx,,272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4
source,shared,richards,tests/benchmarks/awfy_richards.crexx,,cd136e6cc8bc5dd487db99abe706fc96d161b3e4b102e13b20cce69bc4692372
source,shared,towers,tests/benchmarks/awfy_towers.crexx,,b8163f600dfa6b8882b35344a18f09053e9f01fc92374383dc924a6ba2827935
source,shared,base64,tests/benchmarks/base64_roundtrip.crexx,,b024222aff7a2e60dd7812da2c4aa54f2a9bc65b978915a2e670e74bad7d9e13
source,shared,rexxcps,tests/benchmarks/rexxcps_levelb.crexx,,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6
image,baseline,mandelbrot,baseline-mandelbrot.rxbin,1872,17205da1e229cfc682bf9d6f910f893c54d7c46e58a3d7942370a4687f824ef8
image,candidate,mandelbrot,candidate-mandelbrot.rxbin,1864,bdcd3905b03032fb21f522bd825f889dc2cbdf2576361a065091b20570cf9da0
image,baseline,permute,baseline-permute.rxbin,3757,10feb91e075fb53f9deac707fa475771f975defaf80dc514afadc8b1abe57225
image,candidate,permute,candidate-permute.rxbin,3717,e4651dd127a020df930bc6e0dc714952ff6202b143b854aa871e18f1ac49d739
image,baseline,richards,baseline-richards.rxbin,16358,613d2a0866348522da9c2ad284fbeefdf0a59bf827030e067e88392194f91cad
image,candidate,richards,candidate-richards.rxbin,16318,e96e3b357bf5973eb2ac5f84dbf503f0d4a5a37b129f44ab88585b8bd7d27c2e
image,baseline,towers,baseline-towers.rxbin,7951,d075c4127a6a9407fd9abe05808693737bbe3c085dc28a2b4fe2cc11d7265da2
image,candidate,towers,candidate-towers.rxbin,7919,4bfa075547b7cdfcf8cede2761c415611c41411df9c2e9fe5915d397e677c9f1
image,baseline,base64,baseline-base64.rxbin,6409,0b2f084ddf16a2535572b409edbc31e8af3ae3c6d51eedaecf9faf379e4c419e
image,candidate,base64,candidate-base64.rxbin,6393,42509a2574ad38c0be13828507deda943e74c28c8deed8f12d02def33d6b8234
image,baseline,rexxcps,baseline-rexxcps.rxbin,195599,e63425d71ab296ffdb4e8925f1c546e2d210fde311d1d8769c8b5687bb9ac440
image,candidate,rexxcps,candidate-rexxcps.rxbin,195471,b2934ad1d185d1e2a334c7dba0d418fcfbeea5d6a657d612229f0d5f79fa7c81
