workload,vm,current_median_bytes,candidate_median_bytes,delta_bytes,delta_percent,guard
Sieve,rxvm,17301504,17350656,49152,0.284091,pass
Sieve,rxbvm,17350656,17367040,16384,0.094429,pass
Permute,rxvm,17580032,17530880,-49152,-0.279590,pass
Permute,rxbvm,17530880,17448960,-81920,-0.467290,pass
Bounce,rxvm,17842176,17858560,16384,0.091827,pass
Bounce,rxbvm,17858560,17743872,-114688,-0.642202,pass
Richards,rxvm,19709952,19005440,-704512,-3.574397,pass
Richards,rxbvm,19759104,19005440,-753664,-3.814262,pass
Base64,rxvm,17694720,17661952,-32768,-0.185185,pass
Base64,rxbvm,17563648,17612800,49152,0.279851,pass
RexxCPS,rxvm,19136512,19136512,0,0.000000,pass
RexxCPS,rxbvm,19103744,19087360,-16384,-0.085763,pass
