   138 *-*   call time 'R'
       >L>     "R"
   139 *-*   do count
       >V>     "1"
   141 *-*    flag=opaquezero
       >V>      "0"
       *-*    p0=opaquemarker
       >V>      "b"
   142 *-*    do loop=1 to 14
       >L>      "1"
       >L>      "14"
       >V>      "1"
   144 *-*     key1=opaquekey
       >V>       "Key Bee"
   145 *-*     acompound.key1.loop=substr(opaquedigits,6,2)
       >V>       "12345678"
       >L>       "6"
       >L>       "2"
       >F>       "67"
       >V>       "Key Bee"
       >V>       "1"
       >C>       "ACOMPOUND.Key Bee.1"
   146 *-*     if flag=acompound.key1.loop then say 'Failed1'
       >V>       "0"
       >V>       "Key Bee"
       >V>       "1"
       >C>       "ACOMPOUND.Key Bee.1"
       >V>       "67"
       >O>       "0"
   147 *-*     do j=1.1 to 2.2 by 1.1   /* executed 28 times */
       >L>       "1.1"
       >L>       "2.2"
       >L>       "1.1"
       >V>       "1.1"
   148 *-*      if j>acompound.key1.loop then say 'Failed2'
       >V>        "1.1"
       >V>        "Key Bee"
       >V>        "1"
       >C>        "ACOMPOUND.Key Bee.1"
       >V>        "67"
       >O>        "0"
   149 *-*      if 17<length(j)-1        then say 'Failed3'
       >L>        "17"
       >V>        "1.1"
       >F>        "3"
       >L>        "1"
       >O>        "2"
       >O>        "0"
   150 *-*      if j=opaquefailure       then say 'Failed4'
       >V>        "1.1"
       >V>        "foobar"
       >V>        "foobar"
       >O>        "0"
   151 *-*      if substr(opaquedigits,1,1)=opaquenine then say 'Failed5'
       >V>        "12345678"
       >L>        "1"
       >L>        "1"
       >F>        "1"
       >V>        "9"
       >O>        "0"
   152 *-*      if word(key1,1)=opaquequestion then say 'Failed6'
       >V>        "Key Bee"
       >L>        "1"
       >F>        "Key"
       >V>        "?"
       >V>        "?"
       >O>        "0"
   153 *-*      if j<5 then do   /* This path taken */
       >V>        "1.1"
       >L>        "5"
       >O>        "1"
       *-*      do   /* This path taken */
   154 *-*      acompound.key1.loop=acompound.key1.loop+1
       >V>        "Key Bee"
       >V>        "1"
       >C>        "ACOMPOUND.Key Bee.1"
       >V>        "67"
       >L>        "1"
       >O>        "68"
       >V>        "Key Bee"
       >V>        "1"
       >C>        "ACOMPOUND.Key Bee.1"
   155 *-*      if j=2 then leave
       >V>        "1.1"
       >L>        "2"
       >O>        "0"
   157 *-*      iterate
   147 *-*      do j=1.1 to 2.2 by 1.1   /* executed 28 times */
   158 *-*     end /* j */
   147 *-*     do j=1.1 to 2.2 by 1.1   /* executed 28 times */
       >V>       "1.1"
       >V>       "2.2"
   148 *-*      if j>acompound.key1.loop then say 'Failed2'
       >V>        "2.2"
       >V>        "Key Bee"
       >V>        "1"
       >C>        "ACOMPOUND.Key Bee.1"
       >V>        "68"
       >O>        "0"
   149 *-*      if 17<length(j)-1        then say 'Failed3'
       >L>        "17"
       >V>        "2.2"
       >F>        "3"
       >L>        "1"
       >O>        "2"
       >O>        "0"
   150 *-*      if j=opaquefailure       then say 'Failed4'
       >V>        "2.2"
       >V>        "foobar"
       >V>        "foobar"
       >O>        "0"
