comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.008970
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.913196
rxtvm/oorexx,Sieve,sieve-rxtvm,sieve-oorexx,7.031859
rxtvm/netrexx,Sieve,sieve-rxtvm,sieve-netrexx,1.919444
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.554628
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.553987
rxtvm/oorexx,Permute,permute-rxtvm,permute-oorexx,8.100277
rxtvm/netrexx,Permute,permute-rxtvm,permute-netrexx,0.524564
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.978329
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.658829
rxtvm/oorexx,Bounce,bounce-rxtvm,bounce-oorexx,3.896908
rxtvm/netrexx,Bounce,bounce-rxtvm,bounce-netrexx,1.624880
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.829769
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.530537
rxtvm/oorexx,Richards,richards-rxtvm,richards-oorexx,0.835904
rxtvm/netrexx,Richards,richards-rxtvm,richards-netrexx,0.534460
rxvm/oorexx,Base64-v2,base64-v2-rxvm,base64-v2-oorexx,14.238704
rxvm/netrexx,Base64-v2,base64-v2-rxvm,base64-v2-netrexx,9.386450
rxtvm/oorexx,Base64-v2,base64-v2-rxtvm,base64-v2-oorexx,12.411500
rxtvm/netrexx,Base64-v2,base64-v2-rxtvm,base64-v2-netrexx,8.181919
