rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,3827500,4,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R5;c1=int:18;c2=int:1;r2=R0","benchmark_awfy_list_opt",158
2,3820600,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R2;r2=R4","benchmark_awfy_list_opt",207
3,1945400,3,1,4,candidate,"LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r4)","r1=R9;r2=R1;r3=R10;r4=R3","benchmark_awfy_list_opt",556
4,1945400,3,1,3,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | UNLINK_REG(r3)","r1=R9;r2=R1;r3=R10","benchmark_awfy_list_opt",554
5,1875200,1,1,4,candidate,"BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r2,r3) | BTOI_REG(r2)","c1=label@580;r1=R11;r2=R12;r3=R1","benchmark_awfy_list_opt",537
6,1875200,1,1,3,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R12;c1=int:0;c2=label@554","benchmark_awfy_list_opt",543
7,1875200,2,1,6,candidate,"LINKREF_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | CALL1_REG_FUNC_REG(r4,c2,r3)","r1=R10;r2=R3;r3=R9;c1=int:256;r4=R1;c2=func@12472","benchmark_awfy_list_opt",561
8,1875200,1,1,5,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | REFVALID_REG_REG(r3,r4)","r1=R11;r2=R3;c1=label@580;r3=R12;r4=R1","benchmark_awfy_list_opt",534
9,1875200,1,1,3,candidate,"REFVALID_REG_REG(r1,r2) | BTOI_REG(r1) | IEQ_REG_REG_INT(r1,r1,c1)","r1=R12;r2=R1;c1=int:0","benchmark_awfy_list_opt",540
10,1875200,2,1,4,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1)","r1=R10;r2=R3;r3=R9;c1=int:256","benchmark_awfy_list_opt",559
11,842700,11,1,4,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | SETTP_REG_INT(r3,c1)","r1=R18;c1=int:256;r2=R2;r3=R3","benchmark_awfy_list_opt",413
12,284300,2,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r2,r3)","r1=R19;c1=int:18;c2=int:1;r2=R10;r3=R9","benchmark_awfy_list_opt",446
13,281000,2,1,7,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r2,r3,r4,r5)","r1=R18;c1=int:18;c2=int:1;r2=R8;r3=R2;r4=R3;r5=R4","benchmark_awfy_list_opt",332
14,280900,1,1,5,candidate,"COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | REFVALID_REG_REG(r5,r3)","r1=R1;r2=R16;r3=R3;r4=R17;r5=R11","benchmark_awfy_list_opt",528
15,280900,1,1,4,candidate,"COPY_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r1) | BRF_ID_REG(c1,r3)","r1=R3;r2=R17;r3=R11;c1=label@580","benchmark_awfy_list_opt",531
16,280900,1,1,4,candidate,"NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3) | COPY_REG_REG(r2,r4)","r1=R1;r2=R3;r3=R16;r4=R17","benchmark_awfy_list_opt",525
17,280900,1,1,5,candidate,"NULLN_REG_REG(r1,r2) | SETTP_REG_INT(r3,c1) | SETTP_REG_INT(r4,c1)","r1=R11;r2=R16;r3=R35;c1=int:256;r4=R37","benchmark_awfy_list_opt",600
18,280900,1,1,8,candidate,"NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6) | SETTP_REG_INT(r7,c1)","r1=R21;r2=R22;r3=R23;r4=R6;r5=R11;r6=R16;r7=R35;c1=int:256","benchmark_awfy_list_opt",595
19,280900,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r1,r2) | COPY_REG_REG(r1,r3)","c1=int:18;c2=int:1;r1=R1;r2=R3;r3=R16","benchmark_awfy_list_opt",521
20,280900,1,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG_REG_REG(r1,r2,r3,r4) | NULLN_REG_REG(r5,r6)","c1=int:18;c2=int:1;r1=R21;r2=R22;r3=R23;r4=R6;r5=R11;r6=R16","benchmark_awfy_list_opt",591
21,280900,1,1,6,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL3_REG_FUNC_REG_REG_REG(r3,c2,r4,r1,r2)","r1=R37;c1=int:256;r2=R36;r3=R7;c2=func@31024;r4=R35","benchmark_awfy_list_opt",606
22,280900,5,1,7,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r3,c2,r4,r5,r1,r2)","r1=R3;c1=int:256;r2=R4;r3=R8;c2=func@23568;r4=R18;r5=R2","benchmark_awfy_list_opt",419
23,210700,1,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | RET_INT(c1)","r1=R9;r2=R10;c1=int:0","benchmark_awfy_list_opt",583
24,210700,1,1,2,candidate,"UNLINKN_REG_REG(r1,r2) | ENDLIFE_REG(r2) | ENDLIFE_REG(r1)","r1=R10;r2=R9","benchmark_awfy_list_opt",580
25,70200,1,1,4,candidate,"BRF_ID_REG(c1,r1) | UNLINK_REG(r2) | LINKREF_REG_REG(r2,r3)","c1=label@735;r1=R7;r2=R28;r3=R36","benchmark_awfy_list_opt",618
26,70200,1,1,4,candidate,"IEQ_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | RET_INT(c3)","r1=R12;c1=int:0;c2=label@554;c3=int:1","benchmark_awfy_list_opt",545
27,6200,2,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | MINLINKATTR1_REG_REG_REG_INT(r4,r1,r3,c3)","r1=R4;r2=R11;c1=int:2;r3=R6;c2=int:1;r4=R5;c3=int:0","benchmark_awfy_list_opt",272
28,6200,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r4,r1,c2) | UNLINK_REG(r1)","r1=R6;r2=R11;c1=int:1;r3=R5;r4=R4;c2=int:0","benchmark_awfy_list_opt",276
29,3400,1,1,6,candidate,"NULLN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R10;r2=R9;r3=R0;r4=R20;c1=int:0;c2=label@466","benchmark_awfy_list_opt",452
30,3400,1,1,7,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULLN_REG_REG(r1,r2) | IEQ_REG_REG_INT(r3,r4,c3)","c1=int:18;c2=int:1;r1=R10;r2=R9;r3=R0;r4=R20;c3=int:0","benchmark_awfy_list_opt",448
31,3200,2,1,3,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1)","r1=R6;r2=R8;c1=int:256","benchmark_awfy_list_opt",432
32,3100,1,1,6,candidate,"COPY_REG_REG(r1,r2) | UNLINKN_REG_REG(r1,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R9;r3=R4;r4=R7;r5=R11;c1=int:2","benchmark_awfy_list_opt",291
33,3100,1,1,4,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | ISETATTR1_REG_INT_REG(r3,c1,r1)","r1=R6;r2=R5;c1=int:1;r3=R11","benchmark_awfy_list_opt",262
34,3100,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c2) | LINKATTR1_REG_REG_INT(r2,r1,c1)","r1=R11;c1=int:1;r2=R6;r3=R4;c2=int:2","benchmark_awfy_list_opt",268
35,3100,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r3,c2) | SETTP_REG_INT(r4,c2)","r1=R16;r2=R20;c1=int:1;r3=R19;c2=int:256;r4=R21","benchmark_awfy_list_opt",466
36,3100,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1)","r1=R5;r2=R11;c1=int:1;r3=R6","benchmark_awfy_list_opt",258
37,3100,1,1,5,candidate,"LINKREF_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r4) | BRF_ID_REG(c1,r3)","r1=R8;r2=R10;r3=R17;r4=R9;c1=label@517","benchmark_awfy_list_opt",497
38,3100,1,1,6,candidate,"LINKREF_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r3,c2,r1,r4)","r1=R5;r2=R21;c1=int:256;r3=R10;c2=func@15416;r4=R20","benchmark_awfy_list_opt",484
39,3100,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3) | CALL1_REG_FUNC_REG(r4,c2,r5)","r1=R5;r2=R4;r3=R6;c1=int:0;r4=R9;c2=func@9192;r5=R12","benchmark_awfy_list_opt",280
40,3100,1,1,5,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | UNLINK_REG(r3) | MKREF_REG_REG(r4,r1)","r1=R8;r2=R7;r3=R9;c1=int:0;r4=R2","benchmark_awfy_list_opt",305
41,3100,1,1,3,candidate,"MKREF_REG_REG(r1,r2) | UNLINKN_REG_REG(r2,r3) | RET_REG(r1)","r1=R2;r2=R8;r3=R7","benchmark_awfy_list_opt",312
42,3100,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | ISETATTR1_REG_INT_REG(r1,c3,r2) | RET_REG(r1)","c1=int:18;c2=int:1;r1=R1;c3=int:2;r2=R4","benchmark_awfy_list_opt",148
43,3100,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | IADD_REG_REG_INT(r3,r1,c2)","c1=int:18;c2=int:1;r1=R5;r2=R11;r3=R6","benchmark_awfy_list_opt",254
44,3100,1,1,5,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | NUMSCI_INT_INT_INT(c3,c4,c4)","r1=R1;c1=int:3;c2=string@10;c3=int:18;c4=int:1","benchmark_awfy_list_opt",142
45,3100,1,1,6,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | NUMSCI_INT_INT_INT(c2,c3,c3) | ISETATTR1_REG_INT_REG(r1,c4,r2)","r1=R1;c1=string@10;c2=int:18;c3=int:1;c4=int:2;r2=R4","benchmark_awfy_list_opt",145
46,3100,1,1,6,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL3_REG_FUNC_REG_REG_REG(r3,c2,r1,r4,r2)","r1=R19;c1=int:256;r2=R21;r3=R9;c2=func@21608;r4=R16","benchmark_awfy_list_opt",470
47,3100,1,1,7,candidate,"UNLINKN_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R5;r2=R4;r3=R7;r4=R11;c1=int:2;r5=R9;c2=int:1","benchmark_awfy_list_opt",294
48,3100,1,1,6,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R5;r2=R11;c1=int:1;r3=R6;r4=R4;c2=int:2","benchmark_awfy_list_opt",266
49,3100,1,1,4,candidate,"UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2) | REFVALID_REG_REG(r3,r4)","r1=R8;r2=R10;r3=R17;r4=R9","benchmark_awfy_list_opt",495
50,3100,1,1,4,candidate,"UNLINK_REG(r1) | MKREF_REG_REG(r2,r3) | UNLINKN_REG_REG(r3,r4)","r1=R9;r2=R2;r3=R8;r4=R7","benchmark_awfy_list_opt",310
51,2800,1,1,5,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2) | SETTP_REG_INT(r3,c2)","c1=label@517;r1=R17;r2=R8;c2=int:256;r3=R9","benchmark_awfy_list_opt",503
52,2800,1,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | RET()","r1=R3;r2=R6","benchmark_awfy_list_opt",227
53,2800,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R3;r2=R5;c1=int:1;r3=R6","benchmark_awfy_list_opt",223
54,2800,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | COPY_REG_REG(r1,r3)","c1=int:18;c2=int:1;r1=R3;r2=R5;r3=R6","benchmark_awfy_list_opt",219
55,2800,1,1,5,candidate,"REFVALID_REG_REG(r1,r2) | BRF_ID_REG(c1,r1) | SETTP_REG_INT(r3,c2)","r1=R17;r2=R9;c1=label@517;r3=R8;c2=int:256","benchmark_awfy_list_opt",500
56,2800,1,1,5,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1) | CALL2_REG_FUNC_REG_REG(r3,c2,r1,r2)","r1=R8;c1=int:256;r2=R9;r3=R12;c2=func@13216","benchmark_awfy_list_opt",506
57,1000,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | REFVALID_REG_REG(r3,r1) | UNLINK_REG(r1)","r1=R0;r2=R5;c1=int:1;r3=R3","benchmark_awfy_list_opt",164
