round,position,cell,variant,rate_jobs_per_second,elapsed_ns
1,7,spin-w1,accepted,1510.146295422,169520000
1,8,spin-w1,hybrid,1427.440309576,179342000
1,9,spin-w1,candidate,1402.094378478,182584000
1,10,spin-w4,accepted,4436.203580155,57707000
1,11,spin-w4,hybrid,4317.905815679,59288000
1,12,spin-w4,candidate,4162.940076429,61495000
2,13,spin-w4,hybrid,4203.543455772,60901000
2,14,spin-w4,candidate,4114.035933533,62226000
2,15,spin-w4,accepted,4191.156005959,61081000
2,16,spin-w1,hybrid,1538.461538462,166400000
2,17,spin-w1,candidate,1403.039553658,182461000
2,18,spin-w1,accepted,1514.828753343,168996000
3,19,spin-w1,candidate,1399.610733265,182908000
3,20,spin-w1,accepted,1542.112935677,166006000
3,21,spin-w1,hybrid,1520.063652665,168414000
3,22,spin-w4,candidate,4280.363830926,59808000
3,23,spin-w4,accepted,4248.962655602,60250000
3,24,spin-w4,hybrid,4166.395416965,61444000
4,25,spin-w4,accepted,4176.455233620,61296000
4,26,spin-w4,candidate,4038.937885553,63383000
4,27,spin-w4,hybrid,4103.484756195,62386000
4,28,spin-w1,accepted,1536.909850632,166568000
4,29,spin-w1,candidate,1401.879394563,182612000
4,30,spin-w1,hybrid,1537.528303133,166501000
5,31,spin-w1,candidate,1401.334552202,182683000
5,32,spin-w1,hybrid,1521.717162711,168231000
5,33,spin-w1,accepted,1438.978325389,177904000
5,34,spin-w4,candidate,4208.380595420,60831000
5,35,spin-w4,hybrid,4174.344089879,61327000
5,36,spin-w4,accepted,4104.405823126,62372000
6,37,spin-w4,hybrid,4068.787946216,62918000
6,38,spin-w4,accepted,4051.081607140,63193000
6,39,spin-w4,candidate,3919.887303240,65308000
6,40,spin-w1,hybrid,1428.077339313,179262000
6,41,spin-w1,accepted,1436.773545407,178177000
6,42,spin-w1,candidate,1386.789744256,184599000
7,43,spin-w1,accepted,1434.229913778,178493000
7,44,spin-w1,hybrid,1538.341355543,166413000
7,45,spin-w1,candidate,1390.103117415,184159000
7,46,spin-w4,accepted,4238.129925171,60404000
7,47,spin-w4,hybrid,4181.298489179,61225000
7,48,spin-w4,candidate,4036.517872629,63421000
8,49,spin-w4,hybrid,4023.133014835,63632000
8,50,spin-w4,candidate,3909.053428820,65489000
8,51,spin-w4,accepted,3921.208222283,65286000
8,52,spin-w1,hybrid,1516.273284568,168835000
8,53,spin-w1,candidate,1392.318318776,183866000
8,54,spin-w1,accepted,1438.937883974,177909000
9,55,spin-w1,candidate,1403.524161449,182398000
9,56,spin-w1,accepted,1433.643582765,178566000
9,57,spin-w1,hybrid,1425.889927981,179537000
9,58,spin-w4,candidate,4162.060219809,61508000
9,59,spin-w4,accepted,4079.551249363,62752000
9,60,spin-w4,hybrid,4046.854992965,63259000
10,61,spin-w4,accepted,4000.062500977,63999000
10,62,spin-w4,candidate,3885.499195580,65886000
10,63,spin-w4,hybrid,3906.965386729,65524000
10,64,spin-w1,accepted,1536.144397573,166651000
10,65,spin-w1,candidate,1401.802630570,182622000
10,66,spin-w1,hybrid,1436.692912502,178187000
11,67,spin-w1,candidate,1405.311638835,182166000
11,68,spin-w1,hybrid,1424.097283646,179763000
11,69,spin-w1,accepted,1432.817108732,178669000
11,70,spin-w4,candidate,4085.606217782,62659000
11,71,spin-w4,hybrid,4045.767747645,63276000
11,72,spin-w4,accepted,3980.037623793,64321000
12,73,spin-w4,hybrid,3899.110515414,65656000
12,74,spin-w4,accepted,3887.741465193,65848000
12,75,spin-w4,candidate,3931.022833715,65123000
12,76,spin-w1,hybrid,1521.156554343,168293000
12,77,spin-w1,accepted,1430.775077687,178924000
12,78,spin-w1,candidate,1379.384665122,185590000
