crexx-nr03-image-manifest|1
# Fields: id|pair|workload|variant|mode|image|modules|args|expectation|source_trace|warmups|runs|image_sha256|module_sha256s
# Semicolon separates repeated module, argument, and module-hash values. Empty repeated-value fields are allowed.
sieve-noopt|sieve|Sieve|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_noopt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|1|3|f8d05c745a5fe989b158a17f248304953bbed620b04eae1c5cac700059fc86cf|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
sieve-opt|sieve|Sieve|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin|cmake-build-release/bin/library.rxbin|50|PASS: AWFY Sieve|source=tests/benchmarks/awfy_sieve.crexx;TRACE=Off|1|3|599038aaa3f6d34afe16a028976d767a419886c5ba932c6b42078c126de850ec|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
bounce-noopt|bounce|Bounce|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_noopt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|1|3|1f0e3c244d65eb5ddaa42a87bd2f731f7048faa5ce242cf076d255443e4af68b|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
bounce-opt|bounce|Bounce|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin|cmake-build-release/bin/library.rxbin|100|PASS: AWFY Bounce|source=tests/benchmarks/awfy_bounce.crexx;TRACE=Off|1|3|cbcea46a2e970d25b8c325336285878ffaa9bf755c3068cf4cdb00a10bc58774|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
richards-noopt|richards|Richards|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_noopt.rxbin|cmake-build-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|1|3|d41233268f8f3eaca22deb8a0a096f1a4ea123fa1e872f63a5192ed173c9ed38|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
richards-opt|richards|Richards|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxbin|cmake-build-release/bin/library.rxbin|1|PASS: AWFY Richards|source=tests/benchmarks/awfy_richards.crexx;TRACE=Off|1|3|f22b7251d6bf51ea611b2b1458d79718314e6ff336e11fccd3edf49687fe1f53|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
base64-noopt|base64|Base64|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_noopt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|1|3|4682af16db87f9864fee52fd5e133810242b711caf071cfdf9ad8dd8ca527d8a|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
base64-opt|base64|Base64|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_base64_roundtrip_opt.rxbin|cmake-build-release/bin/library.rxbin|500|PASS: Base64 Roundtrip|source=tests/benchmarks/base64_roundtrip.crexx;TRACE=Off|1|3|9d75b1d7561a9e53637234fec4a2c011899055b2865c2e42063bd9e336d7bbb6|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
rexxcps-noopt|rexxcps|RexxCPS|baseline|noopt|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_noopt.rxbin|cmake-build-release/bin/library.rxbin|1;1|PASS: RexxCPS 2.2c cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;bounded_overrides=1,1|1|3|88821683b69de5c1ceccf84b6ca3a5d79a5b917d35e28ec3cbe4c27afdfdae98|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
rexxcps-opt|rexxcps|RexxCPS|candidate|opt|cmake-build-release/tests/benchmarks/benchmark_rexxcps_levelb_opt.rxbin|cmake-build-release/bin/library.rxbin|1;1|PASS: RexxCPS 2.2c cREXX port|source=tests/benchmarks/rexxcps_levelb.crexx;TRACE=Off;bounded_overrides=1,1|1|3|f23c15e0066559d8b2f6d69773676e747cca4f5c5dd53093b882db0a0e66a1ba|b7161c8b6fd1aab617d1e2db7dcfd0de08d41f6d9396244d0dbef59b83a9946d
