entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve-current,Sieve,baseline,noopt,process,recorded,1,26958000,0,pass
sieve-opt,sieve-current,Sieve,candidate,opt,process,recorded,1,25793000,0,pass
permute-noopt,permute-current,Permute,baseline,noopt,process,recorded,1,61352000,0,pass
permute-opt,permute-current,Permute,candidate,opt,process,recorded,1,94811000,0,pass
mandelbrot-noopt,mandelbrot-current,Mandelbrot,baseline,noopt,process,recorded,1,181570000,0,pass
mandelbrot-opt,mandelbrot-current,Mandelbrot,candidate,opt,process,recorded,1,175788000,0,pass
towers-noopt,towers-current,Towers,baseline,noopt,process,recorded,1,336394000,0,pass
towers-opt,towers-current,Towers,candidate,opt,process,recorded,1,679831000,0,pass
bounce-noopt,bounce-current,Bounce,baseline,noopt,process,recorded,1,71398000,0,pass
bounce-opt,bounce-current,Bounce,candidate,opt,process,recorded,1,47759000,0,pass
storage-noopt,storage-current,Storage,baseline,noopt,process,recorded,1,826807000,0,pass
storage-opt,storage-current,Storage,candidate,opt,process,recorded,1,899621000,0,pass
list-noopt,list-current,List,baseline,noopt,process,recorded,1,205697000,0,pass
list-opt,list-current,List,candidate,opt,process,recorded,1,96455000,0,pass
richards-noopt,richards-current,Richards,baseline,noopt,process,recorded,1,46421000,0,pass
richards-opt,richards-current,Richards,candidate,opt,process,recorded,1,462078000,0,pass
json-noopt,json-current,JSON,baseline,noopt,process,recorded,1,298423000,0,pass
json-opt,json-current,JSON,candidate,opt,process,recorded,1,299315000,0,pass
base64-noopt,base64-current,Base64,baseline,noopt,process,recorded,1,395107000,0,pass
base64-opt,base64-current,Base64,candidate,opt,process,recorded,1,339052000,0,pass
rexxcps-noopt,rexxcps-current,RexxCPS,baseline,noopt,process,recorded,1,981996000,0,pass
rexxcps-opt,rexxcps-current,RexxCPS,candidate,opt,process,recorded,1,949331000,0,pass
