pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
sieve,sieve-noopt,sieve-opt,noopt,opt,27179000,27014000,-165000,-0.607
bounce,bounce-noopt,bounce-opt,noopt,opt,326394000,350048000,23654000,7.247
richards,richards-noopt,richards-opt,noopt,opt,49742000,605704000,555962000,1117.691
base64,base64-noopt,base64-opt,noopt,opt,503966000,331970000,-171996000,-34.128
rexxcps,rexxcps-noopt,rexxcps-opt,noopt,opt,969797000,1032992000,63195000,6.516
