comparison,n,geometric_mean,membership
rxvm/oorexx,5,0.887696,Sieve;Permute;Bounce;Richards;Base64
rxvm/netrexx,5,0.006220,Sieve;Permute;Bounce;Richards;Base64
rxbvm/oorexx,5,0.877564,Sieve;Permute;Bounce;Richards;Base64
rxbvm/netrexx,5,0.006149,Sieve;Permute;Bounce;Richards;Base64
