comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.141328
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,0.034752
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,7.012098
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,0.034123
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,2.062117
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.007608
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,2.031063
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.007493
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,0.331439
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,0.001788
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,0.325454
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,0.001755
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.151428
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.000666
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.149790
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.000659
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.745792
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.029576
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.749639
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.029729
