product,linker_version,runtime_library,bytes,sha256,pe_dependencies,heap_imports
MSVC clean rxbvm /MD,14.44,MultiThreadedDLL (/MD),669696,056ED504F976DDD65ABD4D7778DEE9221156CAB71827CC859F78D10A4D8BA565,WS2_32.dll;Secur32.dll;CRYPT32.dll;KERNEL32.dll;VCRUNTIME140.dll;UCRT API DLLs,through UCRT
MSVC clean rxbvm /MT,14.44,MultiThreaded (/MT),888320,88EFA8BB613EDD3B90C5EFE0A917D067E424740BB105EF619C35DF392767FAEB,WS2_32.dll;Secur32.dll;CRYPT32.dll;KERNEL32.dll,HeapAlloc;HeapFree;HeapReAlloc
ooRexx 5.1 rexx.dll,14.36,static MSVC CRT,1405440,052C601D5F5198D52888385461514D917DEB0EB361601E72D46FC84BDBD271B5,COMCTL32.dll;SHLWAPI.dll;REXXAPI.dll;KERNEL32.dll;USER32.dll;ADVAPI32.dll,HeapAlloc;HeapFree;HeapReAlloc
Regina 3.9.7 regina.dll,14.39,static MSVC CRT inferred from PE,798208,B3727061F8FE19934C9E2A04C1EB4F4372D147097374022A6E42CDD0F05E2F5B,ADVAPI32.dll;WSOCK32.dll;KERNEL32.dll,HeapAlloc;HeapFree;HeapReAlloc;VirtualAlloc;VirtualFree
