"phase","round","product","rate","elapsed_ms"
"warmup","1","MT","10862676","2833.8946"
"warmup","1","MD","10317128","2953.8955"
"warmup","2","MD","10382631","2924.2154"
"warmup","2","MT","10924843","2790.3119"
"recorded","1","MT","10779533","2852.048"
"recorded","1","MD","9987984","1042.4717"
"recorded","2","MD","10376183","2932.346"
"recorded","2","MT","10750359","2829.0474"
"recorded","3","MT","10565854","2853.2531"
"recorded","3","MD","10045380","3021.4191"
"recorded","4","MD","9450385","1106.7737"
"recorded","4","MT","10594354","2899.6276"
"recorded","5","MT","10508065","2916.766"
"recorded","5","MD","9718900","1076.3069"
"recorded","6","MT","10855235","2802.4186"
"recorded","6","MD","10335437","2964.4069"
"recorded","7","MT","10964852","2798.1368"
"recorded","7","MD","10092320","3020.3578"
"recorded","8","MT","10570696","2862.2206"
"recorded","8","MD","9977237","3047.1489"
"recorded","9","MT","10709946","2828.6033"
"recorded","9","MD","10107268","3000.9949"
"recorded","10","MD","10254864","2981.9938"
"recorded","10","MT","10643189","2888.5093"
