block,mt_over_md,md_over_oorexx,mt_over_oorexx,gap_closed_percent
ab-repeat-1,1.060356,,,
three-way-repeat-2,1.053428,0.632812,0.666622,9.207750
exact-clean,1.049328,0.645731,0.677584,8.991055
