"phase","round","product","rate","elapsed_ms"
"warmup","1","MSVC-MD","10447716","2936.6491"
"warmup","1","ooRexx","15987210","1909.3871"
"warmup","1","MSVC-MT","10905809","2796.9065"
"warmup","2","MSVC-MD","10404929","2935.5493"
"warmup","2","MSVC-MT","11091252","2747.4786"
"warmup","2","ooRexx","15910899","1907.0324"
"recorded","1","MSVC-MD","10415717","2923.5951"
"recorded","1","MSVC-MT","10976593","2784.9133"
"recorded","1","ooRexx","16207455","1885.5324"
"recorded","2","MSVC-MT","10543769","2845.484"
"recorded","2","MSVC-MD","10340353","2950.9753"
"recorded","2","ooRexx","15898251","1897.4632"
"recorded","3","MSVC-MT","10969531","2777.1735"
"recorded","3","MSVC-MD","10311734","2954.3629"
"recorded","3","ooRexx","16142050","1888.7915"
"recorded","4","ooRexx","16116036","1879.5168"
"recorded","4","MSVC-MT","10128270","2960.3959"
"recorded","4","MSVC-MD","10334630","2949.0872"
"recorded","5","ooRexx","16142050","1910.3394"
"recorded","5","MSVC-MD","10414540","2930.5828"
"recorded","5","MSVC-MT","10948166","2772.5364"
"recorded","6","MSVC-MT","10937437","2786.5475"
"recorded","6","ooRexx","16025641","1901.6006"
"recorded","6","MSVC-MD","10460322","2907.0516"
"recorded","7","MSVC-MT","10841266","2811.9221"
"recorded","7","MSVC-MD","10330701","2955.1619"
"recorded","7","ooRexx","16142050","1884.4547"
"recorded","8","MSVC-MT","10937419","2784.8649"
"recorded","8","MSVC-MD","10432212","2918.7392"
"recorded","8","ooRexx","15873016","1911.0696"
"recorded","9","ooRexx","15873016","1911.346"
"recorded","9","MSVC-MD","10448567","2952.6214"
"recorded","9","MSVC-MT","10656187","2836.7401"
"recorded","10","MSVC-MT","10701408","2850.0797"
"recorded","10","MSVC-MD","10201609","2972.4043"
"recorded","10","ooRexx","15810277","1906.3155"
