"phase","round","product","rate"
"warmup","1","ooRexx","15847861"
"warmup","1","MSVC-MD","10383041"
"warmup","1","MSVC-MT","10810016"
"warmup","2","MSVC-MT","11011554"
"warmup","2","MSVC-MD","10379802"
"warmup","2","ooRexx","15961692"
"recorded","1","MSVC-MD","10289611"
"recorded","1","MSVC-MT","11026720"
"recorded","1","ooRexx","16220600"
"recorded","2","MSVC-MD","10312271"
"recorded","2","MSVC-MT","10986633"
"recorded","2","ooRexx","16299919"
"recorded","3","MSVC-MT","10961186"
"recorded","3","MSVC-MD","10300767"
"recorded","3","ooRexx","16116036"
"recorded","4","ooRexx","16142050"
"recorded","4","MSVC-MT","11024745"
"recorded","4","MSVC-MD","10146351"
"recorded","5","ooRexx","15910899"
"recorded","5","MSVC-MT","10347077"
"recorded","5","MSVC-MD","9977212"
"recorded","6","MSVC-MT","10187651"
"recorded","6","MSVC-MD","10177076"
"recorded","6","ooRexx","16000000"
"recorded","7","MSVC-MD","10359195"
"recorded","7","MSVC-MT","10716121"
"recorded","7","ooRexx","15772871"
"recorded","8","ooRexx","16207455"
"recorded","8","MSVC-MT","10585601"
"recorded","8","MSVC-MD","9982202"
"recorded","9","MSVC-MD","9938876"
"recorded","9","MSVC-MT","10693140"
"recorded","9","ooRexx","15455951"
"recorded","10","MSVC-MD","10049433"
"recorded","10","ooRexx","15432099"
"recorded","10","MSVC-MT","10077130"
