block,product,n,min,median,max,mad,relative_mad_percent,span_percent
ab-repeat-1,MSVC-MD,10,9450385.000000,10068850.000000,10376183.000000,138813.500000,1.378643,9.194675
ab-repeat-1,MSVC-MT,10,10508065.000000,10676567.500000,10964852.000000,104418.500000,0.978016,4.278407
three-way-repeat-2,MSVC-MD,10,9938876.000000,10161713.500000,10359195.000000,144805.500000,1.425011,4.136300
three-way-repeat-2,MSVC-MT,10,10077130.000000,10704630.500000,11026720.000000,301058.500000,2.812414,8.870834
three-way-repeat-2,ooRexx,10,15432099.000000,16058018.000000,16299919.000000,156009.500000,0.971536,5.404278
exact-clean,MSVC-MD,10,10201609.000000,10377446.500000,10460322.000000,50755.500000,0.489094,2.493031
exact-clean,MSVC-MT,10,10128270.000000,10889342.500000,10976593.000000,83719.500000,0.768821,7.790397
exact-clean,ooRexx,10,15810277.000000,16070838.500000,16207455.000000,103914.000000,0.646600,2.471421
