vm,round,order,position,variant,cps,provenance,result
rxbvm,1,control-candidate,1,control,41953489,canonical-default,PASS
rxbvm,1,control-candidate,2,candidate,44536249,canonical-default,PASS
rxbvm,2,candidate-control,1,candidate,45592567,canonical-default,PASS
rxbvm,2,candidate-control,2,control,45113610,canonical-default,PASS
rxbvm,3,control-candidate,1,control,44645329,canonical-default,PASS
rxbvm,3,control-candidate,2,candidate,43374012,canonical-default,PASS
rxbvm,4,candidate-control,1,candidate,45793123,canonical-default,PASS
rxbvm,4,candidate-control,2,control,40911843,canonical-default,PASS
rxbvm,5,control-candidate,1,control,44687065,canonical-default,PASS
rxbvm,5,control-candidate,2,candidate,41402347,canonical-default,PASS
rxbvm,6,candidate-control,1,candidate,45330505,canonical-default,PASS
rxbvm,6,candidate-control,2,control,44913905,canonical-default,PASS
rxbvm,7,control-candidate,1,control,45451818,canonical-default,PASS
rxbvm,7,control-candidate,2,candidate,45474678,canonical-default,PASS
rxbvm,8,candidate-control,1,candidate,45204360,canonical-default,PASS
rxbvm,8,candidate-control,2,control,44906926,canonical-default,PASS
rxbvm,9,control-candidate,1,control,45753022,canonical-default,PASS
rxbvm,9,control-candidate,2,candidate,43552793,canonical-default,PASS
rxbvm,10,candidate-control,1,candidate,45658389,canonical-default,PASS
rxbvm,10,candidate-control,2,control,44627955,canonical-default,PASS
rxbvm,11,control-candidate,1,control,45036768,canonical-default,PASS
rxbvm,11,control-candidate,2,candidate,44991299,canonical-default,PASS
rxbvm,12,candidate-control,1,candidate,45841153,canonical-default,PASS
rxbvm,12,candidate-control,2,control,45304464,canonical-default,PASS
rxbvm,13,control-candidate,1,control,44354002,canonical-default,PASS
rxbvm,13,control-candidate,2,candidate,43217752,canonical-default,PASS
rxbvm,14,candidate-control,1,candidate,43794457,canonical-default,PASS
rxbvm,14,candidate-control,2,control,45166833,canonical-default,PASS
rxbvm,15,control-candidate,1,control,45084159,canonical-default,PASS
rxbvm,15,control-candidate,2,candidate,42254497,canonical-default,PASS
rxbvm,16,candidate-control,1,candidate,41010465,canonical-default,PASS
rxbvm,16,candidate-control,2,control,41969089,canonical-default,PASS
rxbvm,17,control-candidate,1,control,44917859,canonical-default,PASS
rxbvm,17,control-candidate,2,candidate,43835924,canonical-default,PASS
rxbvm,18,candidate-control,1,candidate,43930863,canonical-default,PASS
rxbvm,18,candidate-control,2,control,42900006,canonical-default,PASS
rxbvm,19,control-candidate,1,control,44228179,canonical-default,PASS
rxbvm,19,control-candidate,2,candidate,42276148,canonical-default,PASS
rxbvm,20,candidate-control,1,candidate,45690433,canonical-default,PASS
rxbvm,20,candidate-control,2,control,45304957,canonical-default,PASS
rxbvm,21,control-candidate,1,control,45407446,canonical-default,PASS
rxbvm,21,control-candidate,2,candidate,44815356,canonical-default,PASS
rxbvm,22,candidate-control,1,candidate,45014832,canonical-default,PASS
rxbvm,22,candidate-control,2,control,43392269,canonical-default,PASS
rxbvm,23,control-candidate,1,control,44235378,canonical-default,PASS
rxbvm,23,control-candidate,2,candidate,44812625,canonical-default,PASS
rxbvm,24,candidate-control,1,candidate,44713960,canonical-default,PASS
rxbvm,24,candidate-control,2,control,44986522,canonical-default,PASS
rxbvm,25,control-candidate,1,control,45038269,canonical-default,PASS
rxbvm,25,control-candidate,2,candidate,45458182,canonical-default,PASS
rxbvm,26,candidate-control,1,candidate,43986786,canonical-default,PASS
rxbvm,26,candidate-control,2,control,44560262,canonical-default,PASS
rxbvm,27,control-candidate,1,control,43836808,canonical-default,PASS
rxbvm,27,control-candidate,2,candidate,45026264,canonical-default,PASS
rxbvm,28,candidate-control,1,candidate,45669149,canonical-default,PASS
rxbvm,28,candidate-control,2,control,44888784,canonical-default,PASS
rxbvm,29,control-candidate,1,control,45119879,canonical-default,PASS
rxbvm,29,control-candidate,2,candidate,45282636,canonical-default,PASS
rxbvm,30,candidate-control,1,candidate,45626016,canonical-default,PASS
rxbvm,30,candidate-control,2,control,41385761,canonical-default,PASS
rxbvm,31,control-candidate,1,control,37707640,canonical-default,PASS
rxbvm,31,control-candidate,2,candidate,44925971,canonical-default,PASS
rxbvm,32,candidate-control,1,candidate,45666104,canonical-default,PASS
rxbvm,32,candidate-control,2,control,45053366,canonical-default,PASS
rxbvm,33,control-candidate,1,control,43082724,canonical-default,PASS
rxbvm,33,control-candidate,2,candidate,43270338,canonical-default,PASS
rxbvm,34,candidate-control,1,candidate,43657027,canonical-default,PASS
rxbvm,34,candidate-control,2,control,44942002,canonical-default,PASS
rxbvm,35,control-candidate,1,control,43261876,canonical-default,PASS
rxbvm,35,control-candidate,2,candidate,45031536,canonical-default,PASS
rxbvm,36,candidate-control,1,candidate,45817587,canonical-default,PASS
rxbvm,36,candidate-control,2,control,44893499,canonical-default,PASS
rxvm,1,control-candidate,1,control,44002077,canonical-default,PASS
rxvm,1,control-candidate,2,candidate,46782575,canonical-default,PASS
rxvm,2,candidate-control,1,candidate,46624872,canonical-default,PASS
rxvm,2,candidate-control,2,control,46234052,canonical-default,PASS
rxvm,3,control-candidate,1,control,46398760,canonical-default,PASS
rxvm,3,control-candidate,2,candidate,45246084,canonical-default,PASS
rxvm,4,candidate-control,1,candidate,45148765,canonical-default,PASS
rxvm,4,candidate-control,2,control,46418489,canonical-default,PASS
rxvm,5,control-candidate,1,control,46391485,canonical-default,PASS
rxvm,5,control-candidate,2,candidate,45387825,canonical-default,PASS
rxvm,6,candidate-control,1,candidate,44974140,canonical-default,PASS
rxvm,6,candidate-control,2,control,45721350,canonical-default,PASS
rxvm,7,control-candidate,1,control,46068131,canonical-default,PASS
rxvm,7,control-candidate,2,candidate,45821996,canonical-default,PASS
rxvm,8,candidate-control,1,candidate,45915158,canonical-default,PASS
rxvm,8,candidate-control,2,control,45842456,canonical-default,PASS
rxvm,9,control-candidate,1,control,46327782,canonical-default,PASS
rxvm,9,control-candidate,2,candidate,44444563,canonical-default,PASS
rxvm,10,candidate-control,1,candidate,46458643,canonical-default,PASS
rxvm,10,candidate-control,2,control,46210934,canonical-default,PASS
rxvm,11,control-candidate,1,control,46462572,canonical-default,PASS
rxvm,11,control-candidate,2,candidate,46648231,canonical-default,PASS
rxvm,12,candidate-control,1,candidate,46304828,canonical-default,PASS
rxvm,12,candidate-control,2,control,41065064,canonical-default,PASS
rxvm,13,control-candidate,1,control,47537464,canonical-default,PASS
rxvm,13,control-candidate,2,candidate,46971424,canonical-default,PASS
rxvm,14,candidate-control,1,candidate,46982899,canonical-default,PASS
rxvm,14,candidate-control,2,control,46275044,canonical-default,PASS
rxvm,15,control-candidate,1,control,45229835,canonical-default,PASS
rxvm,15,control-candidate,2,candidate,46502414,canonical-default,PASS
rxvm,16,candidate-control,1,candidate,46283311,canonical-default,PASS
rxvm,16,candidate-control,2,control,43855033,canonical-default,PASS
rxvm,17,control-candidate,1,control,43239167,canonical-default,PASS
rxvm,17,control-candidate,2,candidate,46763848,canonical-default,PASS
rxvm,18,candidate-control,1,candidate,46071697,canonical-default,PASS
rxvm,18,candidate-control,2,control,44369588,canonical-default,PASS
rxvm,19,control-candidate,1,control,42133683,canonical-default,PASS
rxvm,19,control-candidate,2,candidate,46327482,canonical-default,PASS
rxvm,20,candidate-control,1,candidate,46382921,canonical-default,PASS
rxvm,20,candidate-control,2,control,45941230,canonical-default,PASS
rxvm,21,control-candidate,1,control,44126927,canonical-default,PASS
rxvm,21,control-candidate,2,candidate,43888908,canonical-default,PASS
rxvm,22,candidate-control,1,candidate,44473975,canonical-default,PASS
rxvm,22,candidate-control,2,control,46418015,canonical-default,PASS
rxvm,23,control-candidate,1,control,46834634,canonical-default,PASS
rxvm,23,control-candidate,2,candidate,45896866,canonical-default,PASS
rxvm,24,candidate-control,1,candidate,45935110,canonical-default,PASS
rxvm,24,candidate-control,2,control,45543231,canonical-default,PASS
rxvm,25,control-candidate,1,control,46727531,canonical-default,PASS
rxvm,25,control-candidate,2,candidate,44792673,canonical-default,PASS
rxvm,26,candidate-control,1,candidate,46756414,canonical-default,PASS
rxvm,26,candidate-control,2,control,45797485,canonical-default,PASS
rxvm,27,control-candidate,1,control,45952461,canonical-default,PASS
rxvm,27,control-candidate,2,candidate,43740514,canonical-default,PASS
rxvm,28,candidate-control,1,candidate,43547331,canonical-default,PASS
