vm,variant,n,min_cps,q1_cps,median_cps,q3_cps,max_cps,mad_cps,relative_mad_percent,cell_median_change_percent
rxvm,control,36,41065064,44733501.5,45946845.5,46371379.5,47537464,461542,1.004512921,
rxvm,candidate,36,43042150,45061452.5,45992519.5,46554777,46982899,645334,1.403128176,0.099406171
rxbvm,control,36,37707640,43614538.5,44891141.5,45068762.5,45753022,372101,0.828896276,
rxbvm,candidate,36,41010465,43725742,44958635,45533622.5,45841153,708991.5,1.576986267,0.150349262
