round,order,variant,elapsed_seconds,output_sha256
20,candidate-control,control,0.258425951,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
21,control-candidate,control,0.257888079,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
21,control-candidate,candidate,0.257541895,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
22,candidate-control,candidate,0.266469002,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
22,candidate-control,control,0.271413088,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
23,control-candidate,control,0.257357121,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
23,control-candidate,candidate,0.257986069,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
24,candidate-control,candidate,0.289543152,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
24,candidate-control,control,0.259006977,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
25,control-candidate,control,0.291089058,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
25,control-candidate,candidate,0.255079031,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
26,candidate-control,candidate,0.255905867,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
26,candidate-control,control,0.255227804,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
27,control-candidate,control,0.259465933,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
27,control-candidate,candidate,0.257334948,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
28,candidate-control,candidate,0.256683111,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
28,candidate-control,control,0.258193970,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
29,control-candidate,control,0.256105900,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
29,control-candidate,candidate,0.254531145,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
30,candidate-control,candidate,0.254873991,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
30,candidate-control,control,0.268055916,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
31,control-candidate,control,0.261610985,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
31,control-candidate,candidate,0.259828806,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
32,candidate-control,candidate,0.258459091,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
32,candidate-control,control,0.259524107,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
33,control-candidate,control,0.265827894,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
33,control-candidate,candidate,0.258423090,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
34,candidate-control,candidate,0.264265060,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
34,candidate-control,control,0.259575129,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
35,control-candidate,control,0.260023117,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
35,control-candidate,candidate,0.257995844,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
36,candidate-control,candidate,0.257797003,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
36,candidate-control,control,0.260995150,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
