round,order,variant,elapsed_seconds,peak_rss_bytes,output_sha256
1,control-candidate,control,0.28,123600896,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
1,control-candidate,candidate,0.25,123600896,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
2,candidate-control,candidate,0.25,123535360,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
2,candidate-control,control,0.26,123518976,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
3,control-candidate,control,0.25,123518976,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
3,control-candidate,candidate,0.26,123535360,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
4,candidate-control,candidate,0.26,123568128,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
4,candidate-control,control,0.26,123584512,0039da82b4bcb7b8829318ea6dd0ac62be3f1ad338b026eeb5e2096d39a9c857
