artifact,sha256,note
m06_rexxcps_rxbin,65d4ef30c588eee525d9f2d403871e067efb635bfdfcc82a1ed43f1925d7fd1b,retained_frozen_M06_runtime_image_1241_instructions_1252_trace_events
k04d_rexxcps_rxbin,96bc599ba1bb25c0934000251e6c33cb17a4271a2776f609b06dbf8be697f005,frozen_candidate_1222_instructions_1249_trace_events
k04d_release_rxas,40bbd170b90caec6dd9a81ea7c1fe2b27512f7dbe7d39d7d8ab3e749ab8fe837,ordinary_profiling_off_Release
current_release_rxvm,114650c14eb449f7f376476a093f453ead29c332b63f69d758883c98e71394e9,same_binary_used_for_both_images
current_release_rxbvm,d86e14b727b033302e1a005fd67fb14c157200c80c37bf1e4e0c8997117ff83a,same_binary_used_for_both_images
current_release_library,fe2049d7cf4a1a28e7fe6e7dea84e37b6f3d30b6fc9e88ac64c7397b349ef11a,same_library_used_for_both_images
current_release_crexx,71358b4ce4c82ff7c35da1fd1faed7db4cb3a1e556d4d3e9a6677bc7aa9cc587,Level_B_runner_driver
