workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,1,126191000,0,pass,95811,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,2,156244000,0,pass,133754,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,3,121628000,0,pass,96981,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,4,114583000,0,pass,94729,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,5,114011000,0,pass,93371,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,6,121454000,0,pass,94766,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,7,106160000,0,pass,91432,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,8,114297000,0,pass,91512,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,9,112421000,0,pass,94951,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxtvm,native-append,steady-state-kernel,recorded,10,121015000,0,pass,107489,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
