entry,section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
runtime-interface-retained-baseline,census,call_path,direct_bytecode,,4,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,direct_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,dynamic_bytecode,,1200001,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,dynamic_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,external_root,,1,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,signal_bytecode,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_path,signal_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,arity,1,,1100005,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,arity,0,,100001,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,callable_kind,procedure,,5,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,callable_kind,method,,1100000,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,callable_kind,factory,,100001,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,callable_kind,native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,callable_kind,unknown,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,frame_disposition,fresh,,4,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,frame_disposition,reused,,1200002,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,frame_disposition,no_child_native,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,frame_disposition,none_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_outcome,success,,1200006,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_outcome,unresolved,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_outcome,frame_failed,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
runtime-interface-retained-baseline,census,call_outcome,invalid,,0,0,0,0,0,0,,,,,,,,,,,,,,complete
