workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,guard_hit
RexxCPS-guard-rxvm,rxvm,elapsed_ns,36,1298631000.000000,1299462000.000000,-14.960457,-1.115767,0.027606,1.145912,2.933008,-0.548820,-1.627395,0.529755,18,36,noisy_inconclusive,no
RexxCPS-guard-rxbvm,rxbvm,elapsed_ns,36,1387107000.000000,1374765000.000000,-3.816481,-1.617708,-0.733166,0.658321,11.454300,-0.445163,-1.329979,0.439654,23,36,noisy_inconclusive,no
