vm,kind,packed_median_us,encoded_median_us,packed_median_items_per_second,encoded_median_items_per_second,paired_median_speedup,paired_median_delta_percent,packed_wins,rounds,packed_min_us,packed_max_us,encoded_min_us,encoded_max_us
rxbvm,read,11641.500000,22996.000000,171799167,86971647,1.950082,95.008,12,12,10561,12048,21899,23508
rxbvm,write,19423.500000,38333.500000,102968054,52173686,1.973474,97.347,12,12,18996,20079,36073,39529
rxtvm,read,10225.000000,25841.000000,195599022,77396386,2.521939,152.194,12,12,10153,10378,25350,26057
rxtvm,write,23108.000000,42196.500000,86550113,47397296,1.830381,83.038,12,12,22935,23529,41162,43035
