vm,padding_cells,n,mean_delta_us,mean_delta_per_call_ns
rxvm,0,4,3798.750000,0.759750
rxvm,1,4,-5285.000000,-1.057000
rxvm,2,4,-5195.750000,-1.039150
rxvm,3,4,2484.750000,0.496950
rxvm,4,4,6553.750000,1.310750
rxvm,5,4,-2074.000000,-0.414800
rxvm,6,4,-2726.750000,-0.545350
rxvm,7,4,22.500000,0.004500
rxvm,8,4,-6238.500000,-1.247700
rxvm,9,4,-4336.750000,-0.867350
rxvm,10,4,416.750000,0.083350
rxvm,11,4,-1333.750000,-0.266750
rxvm,12,4,-24.500000,-0.004900
rxvm,13,4,1734.000000,0.346800
rxvm,14,4,443.250000,0.088650
rxvm,15,4,1415.750000,0.283150
rxvm,all,64,-646.593750,-0.129319
rxbvm,0,4,-2876.500000,-0.575300
rxbvm,1,4,-2613.250000,-0.522650
rxbvm,2,4,-2220.750000,-0.444150
rxbvm,3,4,-2612.250000,-0.522450
rxbvm,4,4,-926.000000,-0.185200
rxbvm,5,4,-4471.000000,-0.894200
rxbvm,6,4,-2735.500000,-0.547100
rxbvm,7,4,-3663.000000,-0.732600
rxbvm,8,4,-2766.750000,-0.553350
rxbvm,9,4,-448.000000,-0.089600
rxbvm,10,4,-1471.750000,-0.294350
rxbvm,11,4,-2611.000000,-0.522200
rxbvm,12,4,1105.250000,0.221050
rxbvm,13,4,-1137.000000,-0.227400
rxbvm,14,4,-1230.000000,-0.246000
rxbvm,15,4,-2796.500000,-0.559300
rxbvm,all,64,-2092.125000,-0.418425
