rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,469637,22,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)","r1=R17;c1=int:18;c2=int:1","benchmark_awfy_richards_noopt",272
2,332578,14,1,5,candidate,"SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r2,c2,r1,r3)","r1=R12;c1=int:256;r2=R1;c2=func@65128;r3=R13","benchmark_awfy_richards_noopt",1544
3,329389,17,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R9;r2=R6;c1=int:0;c2=label@132","benchmark_awfy_richards_noopt",100
4,290777,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BRF_ID_REG(c4,r3)","r1=R3;r2=R7;c1=int:19;c2=int:6;r3=R2;r4=R8;c3=int:1;c4=label@1173","benchmark_awfy_richards_noopt",1157
5,234846,7,1,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R9;c1=label@653;r2=R8","benchmark_awfy_richards_noopt",643
6,219120,27,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2)","r1=R6;r2=R9;c1=int:17;r3=R5;r4=R10;c2=int:0","benchmark_awfy_richards_noopt",978
7,218896,6,1,8,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c3,c4,r3,r4,c2)","c1=int:18;c2=int:1;r1=R8;r2=R12;c3=int:21;c4=int:6;r3=R7;r4=R13","benchmark_awfy_richards_noopt",702
8,195640,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r2,c2)","r1=R8;r2=R11;c1=int:2;c2=int:256","benchmark_awfy_richards_noopt",1715
9,189834,7,1,4,candidate,"UNLINKN_REG_REG(r1,r2) | BRF_ID_REG(c1,r3)","r1=R2;r2=R3;c1=label@1250;r3=R5","benchmark_awfy_richards_noopt",1239
10,178008,10,1,5,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","c1=label@2022;r1=R4;r2=R2;r3=R9;c2=int:7","benchmark_awfy_richards_noopt",1992
