workload,round,order,variant,rss_bytes
Richards,1,1,frozen,8617984
Richards,1,2,stage5,9076736
Richards,2,1,stage5,9060352
Richards,2,2,frozen,8437760
Richards,3,1,frozen,8470528
Richards,3,2,stage5,9076736
Richards,4,1,stage5,9076736
Richards,4,2,frozen,8454144
Richards,5,1,frozen,8634368
Richards,5,2,stage5,9076736
Richards,6,1,stage5,9060352
Richards,6,2,frozen,8454144
Richards,7,1,frozen,8568832
Richards,7,2,stage5,9109504
Richards,8,1,stage5,9093120
Richards,8,2,frozen,8421376
Richards,9,1,frozen,8601600
Richards,9,2,stage5,9109504
Richards,10,1,stage5,9043968
Richards,10,2,frozen,8634368
Towers,1,1,frozen,4587520
Towers,1,2,stage5,5079040
Towers,2,1,stage5,5079040
Towers,2,2,frozen,4734976
Towers,3,1,frozen,4587520
Towers,3,2,stage5,5013504
Towers,4,1,stage5,5046272
Towers,4,2,frozen,4636672
Towers,5,1,frozen,4702208
Towers,5,2,stage5,5079040
Towers,6,1,stage5,5079040
Towers,6,2,frozen,4636672
Towers,7,1,frozen,4603904
Towers,7,2,stage5,5046272
Towers,8,1,stage5,5013504
Towers,8,2,frozen,4718592
Towers,9,1,frozen,4702208
Towers,9,2,stage5,4980736
Towers,10,1,stage5,5062656
Towers,10,2,frozen,4800512
RexxCPS,1,1,frozen,9732096
RexxCPS,1,2,stage5,9846784
RexxCPS,2,1,stage5,9895936
RexxCPS,2,2,frozen,9732096
RexxCPS,3,1,frozen,9715712
RexxCPS,3,2,stage5,9912320
RexxCPS,4,1,stage5,9977856
RexxCPS,4,2,frozen,9732096
RexxCPS,5,1,frozen,9814016
RexxCPS,5,2,stage5,9977856
RexxCPS,6,1,stage5,9912320
RexxCPS,6,2,frozen,9748480
RexxCPS,7,1,frozen,9781248
RexxCPS,7,2,stage5,9945088
RexxCPS,8,1,stage5,10010624
RexxCPS,8,2,frozen,9814016
RexxCPS,9,1,frozen,9748480
RexxCPS,9,2,stage5,9863168
RexxCPS,10,1,stage5,9895936
RexxCPS,10,2,frozen,9715712
