workload,procedure_index,epoch,work,budget,retained_bytes,registers,states,joins,map_updates,map_clobbers,storages,sites,storage_phis,component_updates,values,value_phis,absent,constants,derived,unknown_values,edge_states
Richards,1,2,4744,1171456,623448,14,147,48,8,51,392,3,375,594,1123,159,0,135,5,347,203
Richards,2,2,720,380928,77048,3,54,17,0,25,3,0,0,248,248,0,0,94,0,154,82
Richards,3,2,7137,5584896,596584,47,666,219,354,223,216,169,0,1651,1651,0,0,300,0,1344,1276
Richards,4,2,79,112640,24616,3,13,7,1,4,4,1,0,7,7,0,0,0,0,7,22
Richards,5,2,79,112640,24616,3,13,7,1,4,4,1,0,7,7,0,0,0,0,7,22
Richards,6,2,306,389120,35488,18,41,14,32,25,31,13,0,28,28,0,0,7,0,21,64
Richards,7,2,985,798720,92576,12,94,34,51,31,38,26,0,211,211,0,0,7,0,203,184
Richards,8,2,427,444416,53472,11,47,20,16,16,19,8,0,95,95,0,0,0,0,91,72
Richards,9,2,142,204800,26440,8,23,9,15,13,14,6,0,7,7,0,0,0,0,7,34
Richards,10,2,142,204800,26440,8,23,9,15,13,14,6,0,7,7,0,0,0,0,7,34
Richards,11,2,164,270336,27152,7,29,15,15,13,13,6,0,7,7,0,0,0,0,7,43
Richards,12,2,202,292864,33104,8,33,15,15,13,14,6,0,23,23,0,0,0,0,7,43
Richards,13,2,387,458752,45360,22,50,19,35,27,36,14,0,51,51,0,0,14,0,35,71
Richards,14,2,89,163840,25520,5,17,10,0,4,5,0,0,9,9,0,0,0,0,7,22
Richards,15,2,380,305152,52136,7,37,15,12,12,14,7,0,85,85,0,0,7,0,77,70
Richards,16,2,183,194560,29936,7,22,10,7,7,11,4,0,28,28,0,0,0,0,28,40
Richards,17,2,297,450560,41728,13,46,21,17,13,21,8,0,35,35,0,0,1,0,28,65
Richards,18,2,891,983040,91312,23,107,38,53,44,46,23,0,183,183,0,0,22,0,126,148
Richards,19,3,5953,5357568,579712,58,612,215,275,233,184,126,0,1495,1495,0,0,187,0,1064,917
Richards,20,2,1495,1423360,156096,26,163,57,60,52,54,28,0,353,353,0,0,32,0,231,243
Richards,21,2,2146,2084864,168640,28,233,86,95,82,72,44,0,511,511,0,0,56,0,378,348
Richards,22,2,3639,3567616,311912,47,405,139,214,169,143,96,0,833,833,0,0,74,0,630,582
Richards,23,2,1501,1632256,163776,33,177,61,90,69,73,40,0,310,310,0,0,30,0,217,254
Richards,24,2,747,784384,87144,16,90,36,31,27,30,14,0,157,157,0,0,46,0,105,133
Towers,1,3,3629,1695744,350856,33,199,64,16,71,319,7,279,805,875,22,7,212,3,460,272
Towers,2,2,241,172032,47272,5,21,9,0,9,5,0,0,71,71,0,0,29,0,42,34
Towers,3,2,79,112640,24616,3,13,7,1,4,4,1,0,7,7,0,0,0,0,7,22
Towers,4,2,127,141312,29312,4,18,8,2,7,5,1,0,21,21,0,0,0,0,14,28
Towers,5,2,79,112640,24616,3,13,7,1,4,4,1,0,7,7,0,0,0,0,7,22
Towers,6,2,177,163840,35488,6,20,8,2,8,7,1,0,43,43,0,0,8,0,21,28
Towers,7,2,360,221184,47944,3,30,11,0,13,3,0,0,116,116,0,0,46,0,70,46
Towers,8,3,1480,983040,137800,26,113,35,11,42,32,6,0,486,486,0,7,140,0,280,163
Towers,9,3,829,993280,89088,14,105,46,24,27,26,12,0,179,179,0,7,40,0,70,151
Towers,10,3,738,804864,86472,14,90,40,16,28,22,8,0,170,170,0,7,31,0,70,128
Towers,11,3,1011,954368,138360,18,106,44,18,35,27,9,0,269,269,0,7,59,0,126,152
Towers,12,2,552,391168,77296,17,44,17,0,17,17,0,0,174,174,0,0,52,0,105,63
Towers,13,3,2405,2068480,260296,38,225,91,36,74,56,18,0,697,697,0,14,147,0,378,328
RexxCPS,1,4,247322,5568512,8850824,107,655,216,22,186,15779,3,15669,3084,9378,2127,7,413,16,1830,871
RexxCPS,2,2,747,532480,126248,28,43,15,0,11,28,0,0,268,268,0,0,1,0,126,56
RexxCPS,3,2,100,112640,26752,7,12,6,0,4,7,0,0,21,21,0,0,7,0,14,16
RexxCPS,4,2,71891,13371392,4511176,74,1597,643,94,498,7055,14,6967,7049,7720,252,21,387,13,4187,2452
RexxCPS,5,2,40,94208,23512,3,10,5,0,2,3,0,0,2,2,0,0,2,0,0,10
