workload,round,order,variant,elapsed_s
Richards,1,1,frozen,0.051723003
Richards,1,2,stage5,0.057506084
Richards,2,1,stage5,0.060965061
Richards,2,2,frozen,0.052996159
Richards,3,1,frozen,0.056308985
Richards,3,2,stage5,0.058710814
Richards,4,1,stage5,0.068367004
Richards,4,2,frozen,0.060640097
Richards,5,1,frozen,0.064553022
Richards,5,2,stage5,0.062982082
Richards,6,1,stage5,0.072754145
Richards,6,2,frozen,0.056334019
Richards,7,1,frozen,0.061460972
Richards,7,2,stage5,0.051413059
Richards,8,1,stage5,0.071449041
Richards,8,2,frozen,0.073487043
Richards,9,1,frozen,0.069252968
Richards,9,2,stage5,0.061261892
Richards,10,1,stage5,0.064967871
Richards,10,2,frozen,0.052799940
Richards,11,1,frozen,0.052793026
Richards,11,2,stage5,0.057121038
Richards,12,1,stage5,0.051439047
Richards,12,2,frozen,0.056091070
Richards,13,1,frozen,0.062121868
Richards,13,2,stage5,0.052728176
Richards,14,1,stage5,0.061766863
Richards,14,2,frozen,0.054414988
Richards,15,1,frozen,0.053505182
Richards,15,2,stage5,0.060780048
Richards,16,1,stage5,0.064601898
Richards,16,2,frozen,0.066085100
Richards,17,1,frozen,0.072738171
Richards,17,2,stage5,0.060698986
Richards,18,1,stage5,0.069933891
Richards,18,2,frozen,0.064021111
Richards,19,1,frozen,0.052904844
Richards,19,2,stage5,0.065635920
Richards,20,1,stage5,0.054320812
Richards,20,2,frozen,0.060446978
Richards,21,1,frozen,0.060920000
Richards,21,2,stage5,0.065361977
Richards,22,1,stage5,0.051822901
Richards,22,2,frozen,0.057689905
Richards,23,1,frozen,0.052404165
Richards,23,2,stage5,0.069309950
Richards,24,1,stage5,0.060691833
Richards,24,2,frozen,0.057570934
Richards,25,1,frozen,0.056285858
Richards,25,2,stage5,0.070343018
Richards,26,1,stage5,0.061861038
Richards,26,2,frozen,0.061499119
Richards,27,1,frozen,0.057733059
Richards,27,2,stage5,0.057909012
Richards,28,1,stage5,0.052429914
Richards,28,2,frozen,0.065400124
Richards,29,1,frozen,0.064791918
Richards,29,2,stage5,0.070595026
Richards,30,1,stage5,0.060167789
Richards,30,2,frozen,0.052221060
Towers,1,1,frozen,0.019656897
Towers,1,2,stage5,0.019731045
Towers,2,1,stage5,0.020527840
Towers,2,2,frozen,0.020295858
Towers,3,1,frozen,0.020179987
Towers,3,2,stage5,0.019639015
Towers,4,1,stage5,0.020098209
Towers,4,2,frozen,0.020240068
Towers,5,1,frozen,0.020258904
Towers,5,2,stage5,0.020302057
Towers,6,1,stage5,0.020197153
Towers,6,2,frozen,0.019778013
Towers,7,1,frozen,0.019950867
Towers,7,2,stage5,0.020123959
Towers,8,1,stage5,0.019056797
Towers,8,2,frozen,0.020066023
Towers,9,1,frozen,0.020314932
Towers,9,2,stage5,0.019519091
Towers,10,1,stage5,0.019881010
Towers,10,2,frozen,0.019614935
Towers,11,1,frozen,0.019890070
Towers,11,2,stage5,0.019852877
Towers,12,1,stage5,0.019887924
Towers,12,2,frozen,0.019582033
Towers,13,1,frozen,0.020262957
Towers,13,2,stage5,0.020179033
Towers,14,1,stage5,0.019751072
Towers,14,2,frozen,0.019771814
Towers,15,1,frozen,0.020195007
Towers,15,2,stage5,0.019304037
Towers,16,1,stage5,0.019870043
Towers,16,2,frozen,0.020334959
Towers,17,1,frozen,0.020191908
Towers,17,2,stage5,0.020134926
Towers,18,1,stage5,0.019529104
Towers,18,2,frozen,0.025282860
Towers,19,1,frozen,0.019710064
Towers,19,2,stage5,0.019989967
Towers,20,1,stage5,0.020024061
Towers,20,2,frozen,0.019572973
Towers,21,1,frozen,0.019632101
Towers,21,2,stage5,0.019428015
Towers,22,1,stage5,0.020063877
Towers,22,2,frozen,0.019841194
Towers,23,1,frozen,0.021023989
Towers,23,2,stage5,0.019618988
Towers,24,1,stage5,0.020334959
Towers,24,2,frozen,0.018951178
Towers,25,1,frozen,0.020204067
Towers,25,2,stage5,0.020001888
Towers,26,1,stage5,0.020028114
Towers,26,2,frozen,0.019875050
Towers,27,1,frozen,0.019700766
Towers,27,2,stage5,0.019593000
Towers,28,1,stage5,0.024250984
Towers,28,2,frozen,0.019967794
Towers,29,1,frozen,0.019735098
Towers,29,2,stage5,0.019348860
Towers,30,1,stage5,0.025292873
Towers,30,2,frozen,0.018508911
RexxCPS,1,1,frozen,0.055849075
RexxCPS,1,2,stage5,0.059772015
RexxCPS,2,1,stage5,0.049798012
RexxCPS,2,2,frozen,0.057889938
RexxCPS,3,1,frozen,0.050880909
RexxCPS,3,2,stage5,0.053066015
RexxCPS,4,1,stage5,0.048383951
RexxCPS,4,2,frozen,0.049992800
RexxCPS,5,1,frozen,0.065011978
RexxCPS,5,2,stage5,0.067486048
RexxCPS,6,1,stage5,0.061341047
RexxCPS,6,2,frozen,0.055032015
RexxCPS,7,1,frozen,0.056224108
RexxCPS,7,2,stage5,0.058417082
RexxCPS,8,1,stage5,0.049308062
RexxCPS,8,2,frozen,0.050644875
RexxCPS,9,1,frozen,0.048858166
RexxCPS,9,2,stage5,0.049135923
RexxCPS,10,1,stage5,0.051018953
RexxCPS,10,2,frozen,0.052736044
RexxCPS,11,1,frozen,0.055566072
RexxCPS,11,2,stage5,0.058172941
RexxCPS,12,1,stage5,0.049371958
RexxCPS,12,2,frozen,0.054009914
RexxCPS,13,1,frozen,0.055066109
RexxCPS,13,2,stage5,0.066148996
RexxCPS,14,1,stage5,0.061948061
RexxCPS,14,2,frozen,0.065692902
RexxCPS,15,1,frozen,0.056537151
RexxCPS,15,2,stage5,0.062062025
RexxCPS,16,1,stage5,0.054193974
RexxCPS,16,2,frozen,0.053377151
RexxCPS,17,1,frozen,0.062750816
RexxCPS,17,2,stage5,0.066654921
RexxCPS,18,1,stage5,0.057817936
RexxCPS,18,2,frozen,0.057399035
RexxCPS,19,1,frozen,0.070271969
RexxCPS,19,2,stage5,0.070076942
RexxCPS,20,1,stage5,0.059458017
RexxCPS,20,2,frozen,0.056639910
RexxCPS,21,1,frozen,0.051196098
RexxCPS,21,2,stage5,0.053797960
RexxCPS,22,1,stage5,0.057872057
RexxCPS,22,2,frozen,0.051310062
RexxCPS,23,1,frozen,0.049396992
RexxCPS,23,2,stage5,0.049688816
