workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,guard_hit
nr15-load-first-access,rxvm,elapsed_ns,12,2833500.000000,2788500.000000,-10.161290,-3.027634,-1.364508,-0.578252,7.850799,-1.607080,-4.190431,0.976271,11,12,noisy_inconclusive,no
nr15-load-first-access,rxbvm,elapsed_ns,12,2826500.000000,2756000.000000,-5.248523,-3.882441,-2.658918,-1.140167,1.032396,-2.374354,-3.667874,-1.080835,10,12,clear_favorable,no
