crexx-cross-runtime-matrix|1
# id|workload|runtime|vm|variant|tier|aggregate|lifecycle|work|expectation|metric_prefix|command_argv
get-hit-rxvm-before|nr15-get-hit|crexx|rxvm|before-candidate-a|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/nr15_stem_access_opt.rxbin;-a;get-hit;64;60000000;ascii
get-hit-rxvm-after|nr15-get-hit|crexx|rxvm|after-d2-hybrid|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxvm;cmake-build-release/tests/performance/nr15_stem_access_d2h_opt_linked.rxbin;-a;get-hit;64;60000000;ascii
get-hit-rxbvm-before|nr15-get-hit|crexx|rxbvm|before-candidate-a|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxbvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/nr15_stem_access_opt.rxbin;-a;get-hit;64;60000000;ascii
get-hit-rxbvm-after|nr15-get-hit|crexx|rxbvm|after-d2-hybrid|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxbvm;cmake-build-release/tests/performance/nr15_stem_access_d2h_opt_linked.rxbin;-a;get-hit;64;60000000;ascii
histogram-rxvm-before|nr15-histogram|crexx|rxvm|before-candidate-a|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/nr15_stem_access_opt.rxbin;-a;histogram;64;400000;ascii
histogram-rxvm-after|nr15-histogram|crexx|rxvm|after-d2-hybrid|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxvm;cmake-build-release/tests/performance/nr15_stem_access_d2h_opt_linked.rxbin;-a;histogram;64;400000;ascii
histogram-rxbvm-before|nr15-histogram|crexx|rxbvm|before-candidate-a|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxbvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/nr15_stem_access_opt.rxbin;-a;histogram;64;400000;ascii
histogram-rxbvm-after|nr15-histogram|crexx|rxbvm|after-d2-hybrid|diagnostic|no|no|0|PASS: NR-15 stem access compare||cmake-build-release/bin/rxbvm;cmake-build-release/tests/performance/nr15_stem_access_d2h_opt_linked.rxbin;-a;histogram;64;400000;ascii
rexxcps-rxvm-before|rexxcps-canonical|crexx|rxvm|before-candidate-a|adapted|no|no|0|PASS: RexxCPS 2.2d cREXX port|Performance:|cmake-build-release/bin/rxvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/rexxcps_levelb_opt.rxbin
rexxcps-rxvm-after|rexxcps-canonical|crexx|rxvm|after-d2-hybrid|adapted|no|no|0|PASS: RexxCPS 2.2d cREXX port|Performance:|cmake-build-release/bin/rxvm;cmake-build-release/tests/benchmarks/rexxcps_levelb_d2h_opt_linked.rxbin
rexxcps-rxbvm-before|rexxcps-canonical|crexx|rxbvm|before-candidate-a|adapted|no|no|0|PASS: RexxCPS 2.2d cREXX port|Performance:|cmake-build-release/bin/rxbvm;performance/evidence/2026-07-22-nr-15-first-release-verdict/panel/candidate-a-native-hash/images/rexxcps_levelb_opt.rxbin
rexxcps-rxbvm-after|rexxcps-canonical|crexx|rxbvm|after-d2-hybrid|adapted|no|no|0|PASS: RexxCPS 2.2d cREXX port|Performance:|cmake-build-release/bin/rxbvm;cmake-build-release/tests/benchmarks/rexxcps_levelb_d2h_opt_linked.rxbin
