workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,guard_hit
nr15-get-hit,rxvm,elapsed_ns,12,5020379000.000000,1162410500.000000,-77.274709,-77.119612,-76.838744,-76.444431,-75.524388,-76.737805,-77.067833,-76.407776,12,12,clear_favorable,no
nr15-get-hit,rxbvm,elapsed_ns,12,6006731000.000000,1479798000.000000,-76.507284,-75.611777,-75.438267,-75.273038,-74.924738,-75.514974,-75.805888,-75.224060,12,12,clear_favorable,no
nr15-histogram,rxvm,elapsed_ns,12,1722197000.000000,1155111500.000000,-35.306416,-34.423260,-32.027345,-30.847204,-29.831419,-32.424624,-33.600860,-31.248388,12,12,clear_favorable,no
nr15-histogram,rxbvm,elapsed_ns,12,1884314000.000000,1294139000.000000,-33.887795,-32.263301,-31.885332,-31.074038,-30.035298,-31.729768,-32.390129,-31.069407,12,12,clear_favorable,no
rexxcps-canonical,rxvm,elapsed_ns,12,1799682500.000000,1625872000.000000,-11.483190,-11.030762,-9.767771,-8.802435,-6.735929,-9.743703,-10.676689,-8.810717,12,12,clear_favorable,no
rexxcps-canonical,rxvm,benchmark_rate,12,5581482.500000,6183779.500000,7.242338,9.714598,10.887993,12.478944,13.048954,10.884832,9.738814,12.030850,12,12,clear_favorable,no
rexxcps-canonical,rxbvm,elapsed_ns,12,1987839000.000000,1788228500.000000,-14.997108,-10.641177,-9.827922,-8.959945,-3.645267,-9.743161,-11.387631,-8.098691,12,12,clear_favorable,no
rexxcps-canonical,rxbvm,benchmark_rate,12,5052647.000000,5617810.000000,3.804028,9.874859,10.918954,11.973409,17.728443,10.912668,8.900172,12.925165,12,12,clear_favorable,no
