cell_id,workload,runtime,vm,variant,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
rexxcps-s0-rxvm,RexxCPS,crexx-s0,rxvm,common-f1-control,benchmark_rate,36,43972821.000000,45392831.500000,45615173.000000,45912165.000000,46719628.000000,300028.000000,0.657737,6.021696,no
rexxcps-s1-rxvm,RexxCPS,crexx-s1,rxvm,segmented-stem,benchmark_rate,36,42757993.000000,45672051.250000,45906186.000000,46008848.250000,46784326.000000,135738.000000,0.295686,8.770785,no
rexxcps-h1-rxvm,RexxCPS,crexx-h1,rxvm,lazy-joined-key-reuse,benchmark_rate,36,44693616.000000,46798152.500000,47084651.000000,47394355.250000,47708285.000000,299145.500000,0.635335,6.402658,no
rexxcps-s0-rxbvm,RexxCPS,crexx-s0,rxbvm,common-f1-control,benchmark_rate,36,40155740.000000,45161132.250000,45500731.500000,45820180.000000,46262927.000000,332157.500000,0.730005,13.422173,yes
rexxcps-s1-rxbvm,RexxCPS,crexx-s1,rxbvm,segmented-stem,benchmark_rate,36,44589111.000000,45485437.000000,45806401.000000,45993708.750000,46278985.000000,244738.500000,0.534289,3.689166,no
rexxcps-h1-rxbvm,RexxCPS,crexx-h1,rxbvm,lazy-joined-key-reuse,benchmark_rate,36,46118952.000000,47093043.000000,47335875.000000,47704371.500000,47955697.000000,342552.000000,0.723663,3.880239,no
