cell,procedure,symbol,type
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_register,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_i_value,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_f_value,.float
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_s_value,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_pending_value,.string
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_pending_ready,.int
opaque-noopt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_source_file,.string
opaque-noopt,__rxtrace_reset_display_state(),rexxcps_levelb_opaque.__rxtrace_reset_display_state,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.upper,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.version,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.word,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.time,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_mode_from_option,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_set,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_current_mode,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_needs_breakpoints,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.substr,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.length,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.parseexec,.string[*]
opaque-noopt,__rxtrace_reset_display_state(),_rxsysb.addressenv,._rxsysb..addressenvironment
opaque-noopt,__rxtrace_reset_display_state(),_rxsysb._address_environment,._rxsysb..addressenvironment
opaque-noopt,__rxtrace_reset_display_state(),_rxsysb._noredir,.binary
opaque-noopt,__rxtrace_reset_display_state(),_rxsysb._address,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.floattrunc,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.floatformat,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.left,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_should_trace_module,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_context_from_raw,.rxfnsb..tracecontext
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_should_trace_context,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_current_format,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.right,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_escape_text,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_capture_result_target,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_parent_register,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_supply_parent_value,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_result,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_module,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_has_const,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_const,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_supplied_result,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_supplied_value,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_prefix,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_write_line,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_clear_pending_result,.void
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb._trace_should_emit_key,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.module,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.address,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.source_file,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.line,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.column,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.source,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.has_source,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.asm_line,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.procedure,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.trace_interrupt_raw.module,.int
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.§factory,.rxfnsb..stem
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.get,.string
opaque-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.set,.void
opaque-opt,main(),rexxcps_levelb_opaque.main,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.j,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.rc,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.argv,.string[*]
opaque-opt,main(),rexxcps_levelb_opaque.main.count,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.rexxcps,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.averaging,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.variant,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_zero,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_one,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_marker,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_key,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_digits,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_failure,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_nine,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_question,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_foo_bar,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_with,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.opaque_args,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.tracevar,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.fixed_counts,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.version_info,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.system,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.acompound,.stem
opaque-opt,main(),rexxcps_levelb_opaque.main.avar,.stem
opaque-opt,main(),rexxcps_levelb_opaque.main.empty,.float
opaque-opt,main(),rexxcps_levelb_opaque.main.full,.float
opaque-opt,main(),rexxcps_levelb_opaque.main.total,.float
opaque-opt,main(),rexxcps_levelb_opaque.main.innertime,.float
opaque-opt,main(),rexxcps_levelb_opaque.main.thousand,.float
opaque-opt,main(),rexxcps_levelb_opaque.main.flag,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.i,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_five,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_ninety_nine_point_seven,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_one,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_one_point_one,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_two,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.classic_two_point_two,.decimal
opaque-opt,main(),rexxcps_levelb_opaque.main.trial,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.__rxtrace_mode,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p0,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.lvar,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.p1,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p2,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p3,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p4,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p5,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p6,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p7,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.p8,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.v1,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.v2,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.key1,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.available,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.copy_length,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.pad_character,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.pad_length,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.padding_length,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.start_offset,.int
opaque-opt,main(),rexxcps_levelb_opaque.main.string_length,.int
opaque-opt,main(),rexxcps_levelb_opaque.main._parseresult,.string[*]
opaque-opt,main(),rexxcps_levelb_opaque.main._source,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.handle,.binary
opaque-opt,main(),rexxcps_levelb_opaque.main.text,.string
opaque-opt,main(),rexxcps_levelb_opaque.main.observed,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine,.void
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a1,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a2,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a3,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.a4,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b1,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b2,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.b3,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine._parseresult,.string[*]
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine._source,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c1,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c2,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.c3,.string
opaque-opt,cps_subroutine(),rexxcps_levelb_opaque.cps_subroutine.text,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_raw,.trace_interrupt_raw
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_event,.tracecontext
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_mode,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_format,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_line,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_key,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_emit_source,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_values_mode,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_prefix,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.pad_character,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.pad_length,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.padding_length,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.start,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.string_length,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.codepoint,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.high,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.low,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.text_length,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_type,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_value,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_parent_register,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_i_value,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_f_value,.float
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_s_value,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_pending_value,.string
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_pending_ready,.int
opaque-opt,__rxtrace_handler(),rexxcps_levelb_opaque.__rxtrace_handler.__rxtrace_source_file,.string
opaque-opt,__rxtrace_reset_display_state(),rexxcps_levelb_opaque.__rxtrace_reset_display_state,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.upper,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.version,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.word,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.time,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_mode_from_option,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_set,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_current_mode,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_needs_breakpoints,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.parseexec,.string[*]
opaque-opt,__rxtrace_reset_display_state(),_rxsysb.addressenv,._rxsysb..addressenvironment
opaque-opt,__rxtrace_reset_display_state(),_rxsysb._address_environment,._rxsysb..addressenvironment
opaque-opt,__rxtrace_reset_display_state(),_rxsysb._address,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.floattrunc,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.floatformat,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.left,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_should_trace_module,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_context_from_raw,.rxfnsb..tracecontext
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_should_trace_context,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_current_format,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_capture_result_target,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_parent_register,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_supply_parent_value,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_result,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_module,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_has_const,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_const,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_supplied_result,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_supplied_value,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_pending_prefix,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_write_line,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_clear_pending_result,.void
opaque-opt,__rxtrace_reset_display_state(),rxfnsb._trace_should_emit_key,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.source_file,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.line,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.column,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.source,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.has_source,.int
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.asm_line,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.procedure,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.stem.§factory,.rxfnsb..stem
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.stem.get,.string
opaque-opt,__rxtrace_reset_display_state(),rxfnsb.stem.set,.void
