cell,procedure,symbol,type
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.has_source,.int
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.asm_line,.string
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.tracecontext.procedure,.string
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.trace_interrupt_raw.module,.int
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.§factory,.rxfnsb..stem
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.get,.string
canonical-noopt,__rxtrace_reset_display_state(),rxfnsb.stem.set,.void
canonical-opt,main(),rexxcps_levelb.main,.int
canonical-opt,main(),rexxcps_levelb.main.j,.decimal
canonical-opt,main(),rexxcps_levelb.main.rc,.int
canonical-opt,main(),rexxcps_levelb.main.argv,.string[*]
canonical-opt,main(),rexxcps_levelb.main.count,.int
canonical-opt,main(),rexxcps_levelb.main.rexxcps,.string
canonical-opt,main(),rexxcps_levelb.main.averaging,.int
canonical-opt,main(),rexxcps_levelb.main.contract,.string
canonical-opt,main(),rexxcps_levelb.main.initial_count,.int
canonical-opt,main(),rexxcps_levelb.main.calibrated,.int
canonical-opt,main(),rexxcps_levelb.main.tracevar,.string
canonical-opt,main(),rexxcps_levelb.main.version_info,.string
canonical-opt,main(),rexxcps_levelb.main.system,.string
canonical-opt,main(),rexxcps_levelb.main.acompound,.stem
canonical-opt,main(),rexxcps_levelb.main.avar,.stem
canonical-opt,main(),rexxcps_levelb.main.empty,.float
canonical-opt,main(),rexxcps_levelb.main.full,.float
canonical-opt,main(),rexxcps_levelb.main.total,.float
canonical-opt,main(),rexxcps_levelb.main.innertime,.float
canonical-opt,main(),rexxcps_levelb.main.thousand,.float
canonical-opt,main(),rexxcps_levelb.main.i,.int
canonical-opt,main(),rexxcps_levelb.main.classic_five,.decimal
canonical-opt,main(),rexxcps_levelb.main.classic_ninety_nine_point_seven,.decimal
canonical-opt,main(),rexxcps_levelb.main.classic_one,.decimal
canonical-opt,main(),rexxcps_levelb.main.classic_one_point_one,.decimal
canonical-opt,main(),rexxcps_levelb.main.classic_two,.decimal
canonical-opt,main(),rexxcps_levelb.main.classic_two_point_two,.decimal
canonical-opt,main(),rexxcps_levelb.main.trial,.int
canonical-opt,main(),rexxcps_levelb.main.__rxtrace_mode,.string
canonical-opt,main(),rexxcps_levelb.main.flag,.string
canonical-opt,main(),rexxcps_levelb.main.p0,.string
canonical-opt,main(),rexxcps_levelb.main.lvar,.int
canonical-opt,main(),rexxcps_levelb.main.p1,.string
canonical-opt,main(),rexxcps_levelb.main.p2,.string
canonical-opt,main(),rexxcps_levelb.main.p3,.string
canonical-opt,main(),rexxcps_levelb.main.p4,.string
canonical-opt,main(),rexxcps_levelb.main.p5,.string
canonical-opt,main(),rexxcps_levelb.main.p6,.string
canonical-opt,main(),rexxcps_levelb.main.p7,.string
canonical-opt,main(),rexxcps_levelb.main.p8,.string
canonical-opt,main(),rexxcps_levelb.main.v1,.string
canonical-opt,main(),rexxcps_levelb.main.v2,.string
canonical-opt,main(),rexxcps_levelb.main.key1,.string
canonical-opt,main(),rexxcps_levelb.main.available,.int
canonical-opt,main(),rexxcps_levelb.main.copy_length,.int
canonical-opt,main(),rexxcps_levelb.main.pad_character,.int
canonical-opt,main(),rexxcps_levelb.main.pad_length,.int
canonical-opt,main(),rexxcps_levelb.main.padding_length,.int
canonical-opt,main(),rexxcps_levelb.main.start_offset,.int
canonical-opt,main(),rexxcps_levelb.main.string_length,.int
canonical-opt,main(),rexxcps_levelb.main._parseresult,.string[*]
canonical-opt,main(),rexxcps_levelb.main._source,.string
canonical-opt,main(),rexxcps_levelb.main.handle,.binary
canonical-opt,main(),rexxcps_levelb.main.text,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine,.void
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.a1,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.a2,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.a3,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.a4,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.b1,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.b2,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.b3,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine._parseresult,.string[*]
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine._source,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.c1,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.c2,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.c3,.string
canonical-opt,cps_subroutine(),rexxcps_levelb.cps_subroutine.text,.string
canonical-opt,fail(),rexxcps_levelb.fail,.int
canonical-opt,fail(),rexxcps_levelb.fail.message,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_raw,.trace_interrupt_raw
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_event,.tracecontext
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_mode,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_format,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_line,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_key,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_emit_source,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_values_mode,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_prefix,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.pad_character,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.pad_length,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.padding_length,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.start,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.string_length,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.codepoint,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.high,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.low,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.text_length,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_parent_type,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_parent_value,.string
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_parent_register,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_i_value,.int
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_f_value,.float
canonical-opt,__rxtrace_handler(),rexxcps_levelb.__rxtrace_handler.__rxtrace_s_value,.string
