module,procedure,null,endlife,copies,unlink,reference_ops
_address,§_rxsysb.crexxaddressenvironment.bind_environment(),1,0,5,5,0
_address,§_rxsysb.crexxaddressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.crexxaddressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.crexxaddressenvironment.execute(),0,0,0,0,0
_address,§_rxsysb.crexxaddressenvironment.invoke(),1,1,18,11,0
_address,§_rxsysb.systemaddressenvironment.§match(),2,0,3,0,0
_address,§_rxsysb.systemaddressenvironment.§factory(),1,0,4,3,0
_address,§_rxsysb.systemaddressenvironment.bind_environment(),1,0,5,5,0
_address,§_rxsysb.systemaddressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.systemaddressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.systemaddressenvironment.execute(),0,0,0,0,0
_address,§_rxsysb.systemaddressenvironment.invoke(),1,1,18,11,0
_address,§_rxsysb.shelladdressenvironment.§match(),1,0,3,0,0
_address,§_rxsysb.shelladdressenvironment.§factory(),1,0,4,3,0
_address,§_rxsysb.shelladdressenvironment.bind_environment(),1,0,5,5,0
_address,§_rxsysb.shelladdressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.shelladdressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.shelladdressenvironment.execute(),0,0,0,0,0
_address,§_rxsysb.shelladdressenvironment.invoke(),1,1,18,11,0
_address,§_rxsysb.pathaddressenvironment.§match(),1,0,3,0,0
_address,§_rxsysb.pathaddressenvironment.§factory(),1,0,4,3,0
_address,§_rxsysb.pathaddressenvironment.bind_environment(),1,0,5,5,0
_address,§_rxsysb.pathaddressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.pathaddressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.pathaddressenvironment.execute(),0,0,0,0,0
_address,§_rxsysb.pathaddressenvironment.invoke(),1,1,18,11,0
_address,§_rxsysb.unknownaddressenvironment.§match(),0,0,0,0,0
_address,§_rxsysb.unknownaddressenvironment.§factory(),1,0,4,3,0
_address,§_rxsysb.unknownaddressenvironment.bind_environment(),1,0,5,5,0
_address,§_rxsysb.unknownaddressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.unknownaddressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.unknownaddressenvironment.execute(),2,1,21,12,0
_address,§_rxsysb.unknownaddressenvironment.invoke(),1,1,18,11,0
_address,§_rxsysb.nativeaddressenvironment.§match(),0,0,0,0,0
_address,§_rxsysb.nativeaddressenvironment.§factory(),1,0,6,6,0
_address,§_rxsysb.nativeaddressenvironment.bind_environment(),1,0,6,8,0
_address,§_rxsysb.nativeaddressenvironment.environment_name(),0,0,0,0,0
_address,§_rxsysb.nativeaddressenvironment.environment_id(),0,0,0,0,0
_address,§_rxsysb.nativeaddressenvironment.execute(),2,0,9,6,0
_address,§_rxsysb.nativeaddressenvironment.invoke(),2,0,9,6,0
_address,_address(),16,0,76,31,0
_address,_address_with_sandbox(),16,0,76,31,0
_address,_address_apply_exposed_value(),0,0,1,0,0
_address,_address_new_request(),3,6,32,18,0
_address,_address_dispatch_request(),0,0,0,0,0
_address,_address_link_request_sandbox(),0,0,1,0,0
_address,_address_apply_response_var(),9,0,34,7,0
_address,_address_apply_response_sandbox(),6,0,17,7,0
_address,_address_apply_response_stem(),23,0,51,7,0
_address,_address_apply_response_request_stem(),23,0,51,7,0
_address,_address_environment(),8,0,23,8,0
_address,_address_function(),13,3,73,36,0
_address,_address_call_response(),1,0,3,2,0
_address,_address_call(),2,0,5,3,0
_address,addressenv(),0,0,0,0,0
_address,addresscall(),2,0,5,3,0
_address,_new_address_environment(),2,0,6,0,0
_address,_ensure_address_environment(),9,0,18,3,0
_address,_register_address_environment(),8,0,18,3,0
_address,_set_address_environment(),7,0,15,1,0
_address,_current_address_environment(),0,0,0,0,0
_address,_reset_address_environments(),0,0,0,0,0
_address,_enable_native_address_environment(),4,0,11,6,0
_address,native_address_runtime_enabled(),2,0,4,1,0
_address,ensure_address_runtime(),0,0,0,0,0
_address,alias_address_environment(),13,0,31,5,0
_address,find_sandbox_key_index(),2,1,9,2,0
