rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,737460,10,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2)","r1=R3;c1=int:18;c2=int:1","benchmark_awfy_towers_noopt",166
2,627810,9,1,4,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R5;r2=R13;c1=int:0;c2=label@371","benchmark_awfy_towers_noopt",343
3,327870,5,1,4,candidate,"SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r2,c2,r1)","r1=R6;c1=int:256;r2=R2;c2=func@6464","benchmark_awfy_towers_noopt",74
4,300620,11,1,5,candidate,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2)","c1=label@371;r1=R5;r2=R6;r3=R11;c2=int:3","benchmark_awfy_towers_noopt",347
5,245960,3,1,3,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","r1=R1;r2=R3;c1=int:1","benchmark_awfy_towers_noopt",172
6,245840,7,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r3,r1)","r1=R1;r2=R4;c1=int:3;r3=R2","benchmark_awfy_towers_noopt",184
7,245540,7,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3)","r1=R2;r2=R5;c1=int:3;r3=R3","benchmark_awfy_towers_noopt",219
8,204890,3,1,4,candidate,"BRF_ID_REG(c1,r1) | SETTP_REG_INT(r2,c2)","c1=label@454;r1=R1;r2=R12;c2=int:256","benchmark_awfy_towers_noopt",418
9,190930,5,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1)","r1=R2;r2=R3","benchmark_awfy_towers_noopt",223
10,190910,3,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | RET()","r1=R5;c1=int:2;r2=R2","benchmark_awfy_towers_noopt",231
11,164040,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:18;c2=int:1;r1=R1;r2=R3","benchmark_awfy_towers_noopt",168
12,163960,2,1,2,candidate,"NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c1)","r1=R3;c1=string@11","benchmark_awfy_towers_noopt",335
13,163960,2,1,3,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1)","c1=int:18;c2=int:1;r1=R3","benchmark_awfy_towers_noopt",331
14,163850,3,1,3,candidate,"SETTP_REG_INT(r1,c1) | SETTP_REG_INT(r2,c1)","r1=R12;c1=int:256;r2=R3","benchmark_awfy_towers_noopt",443
15,163820,10,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1)","r1=R3;c1=int:0;r2=R1;c2=int:2","benchmark_awfy_towers_noopt",157
16,163820,2,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c3)","c1=int:18;c2=int:1;r1=R1;r2=R4;c3=int:3","benchmark_awfy_towers_noopt",180
17,109320,4,1,2,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r2)","r1=R3;r2=R6","benchmark_awfy_towers_noopt",364
18,82050,3,1,3,candidate,"IGETUNLINK_REG_REG(r1,r2) | BRF_ID_REG(c1,r1)","r1=R1;r2=R6;c1=label@369","benchmark_awfy_towers_noopt",354
19,82050,3,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1)","r1=R6;r2=R11;c1=int:3;r3=R1","benchmark_awfy_towers_noopt",350
20,82050,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | IEQ_REG_REG_INT(r2,r3,c1)","r1=R1;c1=int:0;r2=R5;r3=R13","benchmark_awfy_towers_noopt",340
21,82050,1,1,4,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2)","r1=R3;c1=string@11;r2=R1;c2=int:0","benchmark_awfy_towers_noopt",337
22,82050,2,1,6,candidate,"SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r2,c2,r3,r1,r4)","r1=R0;c1=int:256;r2=R8;c2=func@19056;r3=R10;r4=R12","benchmark_awfy_towers_noopt",697
23,82020,1,1,3,candidate,"IGTE_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R8;r2=R5;c1=label@443","benchmark_awfy_towers_noopt",435
24,81920,3,1,6,candidate,"SETTP_REG_INT(r1,c1) | CALL3_REG_FUNC_REG_REG_REG(r2,c2,r1,r3,r4)","r1=R12;c1=int:256;r2=R5;c2=func@17728;r3=R3;r4=R4","benchmark_awfy_towers_noopt",288
25,81910,1,1,3,candidate,"ASSERTTYPE_REG_STRING(r1,c1) | UNLINK_REG(r2)","r1=R2;c1=string@9;r2=R1","benchmark_awfy_towers_noopt",191
26,81910,1,1,3,candidate,"COPY_REG_REG(r1,r2) | ASSERTTYPE_REG_STRING(r1,c1)","r1=R2;r2=R1;c1=string@9","benchmark_awfy_towers_noopt",188
27,81910,1,1,2,candidate,"ENDLIFE_REG(r1) | BR_ID(c1)","r1=R7;c1=label@678","benchmark_awfy_towers_noopt",635
28,81910,1,1,3,candidate,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2)","r1=R5;r2=R6;c1=int:1","benchmark_awfy_towers_noopt",710
29,81910,1,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1)","r1=R6;r2=R10;c1=int:1;r3=R5","benchmark_awfy_towers_noopt",706
30,81910,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | IEQ_REG_REG_INT(r1,r2,c2)","c1=int:18;c2=int:1;r1=R4;r2=R18","benchmark_awfy_towers_noopt",789
31,81910,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SETTP_REG_INT(r1,c3)","c1=int:18;c2=int:1;r1=R10;c3=int:256","benchmark_awfy_towers_noopt",682
32,81910,1,1,5,candidate,"SETOBJUNINIT_REG_STRING(r1,c1) | IEQ_REG_REG_INT(r2,r3,c2)","r1=R1;c1=string@11;r2=R3;r3=R14;c2=int:0","benchmark_awfy_towers_noopt",529
33,81910,1,1,5,candidate,"SETTP_REG_INT(r1,c1) | CALL2_REG_FUNC_REG_REG(r2,c2,r1,r3)","r1=R10;c1=int:256;r2=R0;c2=func@28344;r3=R11","benchmark_awfy_towers_noopt",686
34,81910,3,1,7,candidate,"SETTP_REG_INT(r1,c1) | CALL4_REG_FUNC_REG_REG_REG_REG(r2,c2,r1,r3,r4,r5)","r1=R12;c1=int:256;r2=R4;c2=func@18552;r3=R8;r4=R9;r5=R10","benchmark_awfy_towers_noopt",313
35,81910,1,1,4,candidate,"UNLINK_REG(r1) | ISETATTR1_REG_INT_REG(r2,c1,r3)","r1=R6;r2=R10;c1=int:1;r3=R5","benchmark_awfy_towers_noopt",714
