workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
sha256-4096,direct-c,ceiling,process,recorded,1,15947000,0,pass,4673,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,2,11950000,0,pass,4791,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,3,15934000,0,pass,4587,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,4,15819000,0,pass,4601,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,5,15719000,0,pass,5021,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,6,15705000,0,pass,5008,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,7,15772000,0,pass,5138,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,8,15756000,0,pass,5146,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,9,15666000,0,pass,5238,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,direct-c,ceiling,process,recorded,10,15776000,0,pass,5006,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
